#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.52192    -1.52192           0
           2    -1.40744    -1.46468   0.0404768
           3    -1.04875    -1.32604    0.116375
           4   -0.829018    -1.20178    0.138555
           5   -0.715794    -1.10458     0.14087
           6   -0.663542    -1.03108    0.135216
           7   -0.575488   -0.965993    0.130628
           8   -0.584346   -0.918287    0.122701
           9   -0.582226   -0.880947    0.114609
          10   -0.594208   -0.852273    0.106675
          11   -0.653719   -0.834223   0.0984922
          12   -0.614058   -0.815876   0.0919775
          13    -0.64385   -0.802643   0.0858489
          14   -0.641214   -0.791112   0.0804875
          15   -0.597715   -0.778219   0.0761473
          16   -0.553448   -0.764171   0.0726724
          17   -0.509809   -0.749208   0.0699209
          18   -0.523876    -0.73669   0.0671477
          19    -0.53961   -0.726317   0.0644098
          20   -0.505974     -0.7153   0.0621244
          21    -0.49996   -0.705046   0.0600064
          22   -0.508296   -0.696103   0.0579414
          23   -0.474019   -0.686447   0.0562211
          24   -0.420545   -0.675368   0.0549593
          25   -0.392619   -0.664058   0.0539121
          26   -0.390134   -0.653522    0.052858
          27   -0.419711   -0.644862   0.0516048
          28    -0.46642   -0.638489   0.0501537
          29   -0.484419   -0.633177   0.0487048
          30   -0.459853   -0.627399   0.0474228
          31   -0.464983    -0.62216   0.0461815
          32   -0.440647   -0.616488   0.0450854
          33    -0.44387   -0.611257   0.0440215
          34    -0.43676   -0.606125   0.0430249
          35   -0.411259   -0.600557   0.0421543
          36   -0.450472   -0.596388    0.041189
          37    -0.42579   -0.591777    0.040333
          38    -0.43869   -0.587749   0.0394723
          39   -0.401483   -0.582973   0.0387481
          40   -0.403526   -0.578486   0.0380382
          41   -0.387913   -0.573838   0.0373933
          42   -0.407686   -0.569882   0.0367117
          43   -0.374022   -0.565327   0.0361394
          44   -0.350694   -0.560449   0.0356457
          45   -0.334512   -0.555429   0.0352054
          46   -0.373069   -0.551464   0.0346626
          47   -0.388946   -0.548006   0.0340971
          48   -0.366519   -0.544225   0.0335957
          49   -0.369349   -0.540656   0.0330991
          50   -0.385877   -0.537561   0.0325816
          51   -0.336735   -0.533623   0.0321798
          52   -0.338293   -0.529867   0.0317795
          53    -0.35938    -0.52665   0.0313422
          54   -0.326589   -0.522945     0.03098
          55   -0.356312   -0.519915   0.0305645
          56   -0.332368   -0.516566   0.0302016
          57   -0.301205   -0.512788   0.0299072
          58   -0.336323   -0.509746   0.0295459
          59   -0.341091   -0.506887   0.0291831
          60   -0.378149   -0.504741   0.0287755
          61   -0.392779   -0.502906   0.0283622
          62    -0.31082   -0.499808   0.0280735
          63   -0.307103   -0.496749    0.027794
          64   -0.320252   -0.493991   0.0274962
          65   -0.325588     -0.4914    0.027195
          66   -0.366435   -0.489507   0.0268487
          67   -0.362317   -0.487609    0.026515
          68   -0.370155   -0.485881   0.0261813
          69   -0.326727   -0.483575   0.0259033
          70   -0.337958   -0.481495   0.0256166
          71   -0.387957   -0.480177   0.0252897
          72   -0.422105   -0.479371   0.0249513
          73   -0.488698   -0.479498   0.0246098
          74    -0.46578   -0.479313    0.024278
          75   -0.418937   -0.478508   0.0239676
          76   -0.415557    -0.47768   0.0236665
          77   -0.451071   -0.477334   0.0233617
          78   -0.448695   -0.476967   0.0230651
          79   -0.446308   -0.476579   0.0227764
          80   -0.449223   -0.476237   0.0224942
          81   -0.427589   -0.475636   0.0222246
          82   -0.421722   -0.474979   0.0219632
          83   -0.411866   -0.474218   0.0217118
          84    -0.40174   -0.473356   0.0214705
          85   -0.402596   -0.472523    0.021234
          86   -0.351329   -0.471114   0.0210338
          87   -0.346586   -0.469683   0.0208407
          88   -0.366982   -0.468515   0.0206365
          89   -0.361383   -0.467312   0.0204397
          90   -0.372781   -0.466261   0.0202396
          91    -0.41011   -0.465644   0.0200266
          92   -0.431879   -0.465277   0.0198122
          93   -0.453181   -0.465147   0.0195996
          94   -0.472592   -0.465226   0.0193913
          95   -0.518239   -0.465784   0.0191952
          96   -0.525007   -0.466401   0.0190052
          97    -0.46432    -0.46638   0.0188092
          98   -0.441895    -0.46613    0.018619
          99    -0.47732   -0.466243   0.0184312
         100   -0.443384   -0.466015   0.0182483
         101   -0.432047   -0.465678   0.0180708
         102   -0.409569   -0.465128    0.017902
         103   -0.412953   -0.464622   0.0177353
         104   -0.416645    -0.46416   0.0175708
         105   -0.399368   -0.463543   0.0174143
         106    -0.39991   -0.462943   0.0172603
         107   -0.400686   -0.462361   0.0171088
         108   -0.398769   -0.461772   0.0169606
         109   -0.350837   -0.460754   0.0168355
         110   -0.326902   -0.459538   0.0167263
         111   -0.374486   -0.458771   0.0165932
         112   -0.430962   -0.458523   0.0164469
         113   -0.496253   -0.458857   0.0163047
         114    -0.42713   -0.458579   0.0161641
         115   -0.447391   -0.458481   0.0160238
         116   -0.421464   -0.458162   0.0158889
         117   -0.366406   -0.457378   0.0157724
         118   -0.439492   -0.457226   0.0156395
         119   -0.442785   -0.457105   0.0155085
         120   -0.451946   -0.457062   0.0153793
         121   -0.424053   -0.456789   0.0152546
         122   -0.406203   -0.456375   0.0151352
         123   -0.446192   -0.456292   0.0150124
         124   -0.440636   -0.456166   0.0148919
         125   -0.434175    -0.45599   0.0147738
         126   -0.391606   -0.455479   0.0146654
         127   -0.377892   -0.454868   0.0145626
         128   -0.362662   -0.454147   0.0144666
         129   -0.442075   -0.454054   0.0143548
         130   -0.447501   -0.454003   0.0142445
         131   -0.456671   -0.454024   0.0141357
         132    -0.40783   -0.453674    0.014033
         133   -0.437857   -0.453555    0.013928
         134    -0.39866   -0.453145   0.0138301
         135   -0.343056    -0.45233   0.0137516
         136   -0.333215   -0.451454   0.0136784
         137   -0.372156   -0.450875   0.0135908
         138   -0.364377   -0.450248   0.0135068
         139   -0.341805   -0.449468   0.0134321
         140   -0.333541    -0.44864   0.0133616
         141   -0.351865   -0.447954   0.0132845
         142   -0.329601    -0.44712   0.0132171
         143   -0.366121   -0.446554   0.0131368
         144   -0.424034   -0.446397   0.0130465
         145    -0.44051   -0.446357   0.0129566
         146   -0.385824   -0.445942   0.0128745
         147   -0.354266   -0.445319    0.012802
         148   -0.352658   -0.444693   0.0127308
         149    -0.37812   -0.444246   0.0126532
         150   -0.439307   -0.444213   0.0125689
         151   -0.453474   -0.444274   0.0124858
         152   -0.421358   -0.444123   0.0124045
         153   -0.392574   -0.443786    0.012328
         154   -0.376828   -0.443352   0.0122556
         155   -0.354142   -0.442776   0.0121901
         156   -0.354635   -0.442211    0.012125
         157   -0.381648   -0.441825   0.0120539
         158   -0.347095   -0.441226   0.0119925
         159   -0.352584   -0.440668   0.0119301
         160   -0.411561   -0.440486   0.0118569
         161   -0.428843   -0.440414   0.0117835
         162   -0.423247   -0.440308   0.0117112
         163   -0.404669   -0.440089   0.0116414
         164   -0.401559   -0.439854   0.0115728
         165   -0.378823   -0.439485   0.0115086
         166   -0.391195   -0.439194   0.0114429
         167   -0.377962   -0.438827   0.0113803
         168     -0.3972   -0.438579   0.0113152
         169   -0.433857   -0.438551   0.0112483
         170   -0.461996   -0.438689    0.011183
         171   -0.424215   -0.438605   0.0111179
         172   -0.434342    -0.43858   0.0110533
         173   -0.373087   -0.438201   0.0109959
         174   -0.408003   -0.438028   0.0109341
         175     -0.4486   -0.438088   0.0108717
         176   -0.446766   -0.438137   0.0108101
         177   -0.351139   -0.437646   0.0107602
         178   -0.382287   -0.437335   0.0107042
         179   -0.404614   -0.437152    0.010646
         180    -0.42441   -0.437081   0.0105871
         181   -0.386967   -0.436804   0.0105322
         182   -0.399607     -0.4366   0.0104763
         183   -0.423653   -0.436529   0.0104193
         184   -0.463405   -0.436675   0.0103637
         185   -0.496546   -0.436999   0.0103127
         186   -0.435808   -0.436993   0.0102573
         187   -0.439552   -0.437006   0.0102024
         188   -0.411208   -0.436869   0.0101491
         189    -0.42537   -0.436808   0.0100956
         190   -0.449852   -0.436877   0.0100427
         191   -0.386461   -0.436613  0.00999357
         192   -0.387186   -0.436355  0.00994483
         193    -0.37191   -0.436022  0.00989891
         194   -0.355173   -0.435605  0.00985665
         195   -0.346685   -0.435149  0.00981665
         196    -0.36516   -0.434792  0.00977306
         197   -0.392041   -0.434575  0.00972586
         198   -0.417918   -0.434491   0.0096771
         199   -0.392494    -0.43428  0.00963077
         200   -0.354313    -0.43388  0.00959091
         201   -0.384094   -0.433632   0.0095464
         202   -0.402266   -0.433477   0.0095004
         203    -0.40369    -0.43333  0.00945473
         204    -0.44021   -0.433364  0.00940845
         205   -0.486481   -0.433623  0.00936612
         206    -0.43729   -0.433641  0.00932067
         207   -0.413375   -0.433543  0.00927616
         208   -0.384648   -0.433308  0.00923454
         209   -0.424678   -0.433266  0.00919044
         210   -0.393959   -0.433079  0.00914859
         211   -0.399917   -0.432922  0.00910658
         212   -0.341634   -0.432491   0.0090738
         213   -0.359262   -0.432148  0.00903771
         214   -0.355473   -0.431789  0.00900258
         215   -0.382906   -0.431562  0.00896357
         216   -0.368836   -0.431272  0.00892678
         217   -0.353101   -0.430911  0.00889291
         218   -0.329735   -0.430447  0.00886422
         219    -0.37321   -0.430186  0.00882759
         220   -0.342597   -0.429788  0.00879644
         221   -0.374664   -0.429538  0.00876017
         222    -0.39899   -0.429401  0.00872179
         223   -0.389742   -0.429223   0.0086845
         224   -0.396517   -0.429077  0.00864695
         225   -0.372195   -0.428824  0.00861222
         226   -0.374387   -0.428583  0.00857748
         227   -0.388915   -0.428408  0.00854147
         228   -0.368545   -0.428146  0.00850804
         229    -0.31715   -0.427661  0.00848469
         230   -0.273254    -0.42699  0.00847431
         231   -0.298128   -0.426432  0.00845597
         232   -0.358626    -0.42614  0.00842457
         233   -0.363182    -0.42587  0.00839274
         234   -0.351609   -0.425552  0.00836288
         235   -0.340523    -0.42519  0.00833511
         236   -0.371705   -0.424964  0.00830288
         237   -0.324624    -0.42454  0.00827863
         238   -0.352491   -0.424238  0.00824938
         239   -0.337696   -0.423876  0.00822281
         240   -0.395898   -0.423759  0.00818937
         241   -0.399751   -0.423659  0.00815599
         242   -0.420952   -0.423648   0.0081223
         243   -0.437734   -0.423706  0.00808908
         244   -0.429142   -0.423728  0.00805596
         245   -0.466753   -0.423904  0.00802499
         246   -0.408629   -0.423842  0.00799261
         247   -0.369685   -0.423623  0.00796326
         248   -0.382872   -0.423458  0.00793284
         249   -0.360098   -0.423204  0.00790507
         250   -0.343667   -0.422886  0.00787984
