#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         148     1.29937     1.36075  0.00845631
         149     1.31624     1.36046  0.00840483
         150     1.35726     1.36043  0.00834883
         151     1.36687     1.36048  0.00829365
         152      1.3455     1.36038  0.00823967
         153     1.32634     1.36016  0.00818882
         154     1.31566     1.35987  0.00814074
         155     1.30073     1.35949  0.00809716
         156     1.30079     1.35911  0.00805399
         157      1.3189     1.35885  0.00800676
         158     1.29596     1.35846  0.00796597
         159     1.29958     1.35808  0.00792447
         160     1.33841     1.35796   0.0078759
         161      1.3503     1.35791  0.00782712
         162     1.34674     1.35785  0.00777911
         163      1.3343      1.3577  0.00773273
         164     1.33229     1.35755  0.00768713
         165     1.31668      1.3573  0.00764453
         166     1.32525     1.35711  0.00760092
         167     1.31639     1.35686  0.00755931
         168     1.32919      1.3567  0.00751611
         169      1.3534     1.35668  0.00747166
         170     1.37254     1.35677  0.00742829
         171     1.34716     1.35671  0.00738506
         172     1.35396      1.3567  0.00734214
         173     1.31313     1.35645  0.00730402
         174     1.33621     1.35633  0.00726297
         175     1.36336     1.35637  0.00722158
         176     1.36251     1.35641  0.00718063
         177     1.29859     1.35608  0.00714749
         178     1.31906     1.35587  0.00711036
         179     1.33405     1.35575  0.00707168
         180     1.34732      1.3557  0.00703255
         181     1.32259     1.35552  0.00699607
         182     1.33077     1.35538  0.00695895
         183     1.34679     1.35534  0.00692109
         184     1.37318     1.35543  0.00688415
         185     1.39575     1.35565  0.00685039
         186      1.3549     1.35565  0.00681356
         187     1.35744     1.35566  0.00677713
         188     1.33875     1.35557  0.00674168
         189     1.34774     1.35553  0.00670613
         190     1.36436     1.35557    0.006671
         191      1.3222      1.3554  0.00663836
         192     1.32256     1.35523  0.00660599
         193     1.31237       1.355  0.00657549
         194     1.30113     1.35473  0.00654746
         195     1.29558     1.35442   0.0065209
         196     1.30759     1.35418  0.00649201
         197     1.32558     1.35404  0.00646068
         198     1.34289     1.35398  0.00642829
         199     1.32604     1.35384  0.00639752
         200     1.30079     1.35358  0.00637103
         201     1.32006     1.35341  0.00634152
         202     1.33265     1.35331  0.00631096
         203     1.33348     1.35321  0.00628063
         204     1.35768     1.35323  0.00624988
         205     1.38901     1.35341  0.00622183
         206     1.35586     1.35342  0.00619163
         207     1.34021     1.35335  0.00616205
         208     1.32074      1.3532  0.00613442
         209     1.34758     1.35317  0.00610513
         210     1.32725     1.35305   0.0060773
         211     1.33109     1.35294  0.00604939
         212     1.29224     1.35266  0.00602763
         213     1.30402     1.35243  0.00600366
         214     1.30134     1.35219  0.00598035
         215     1.31961     1.35204  0.00595445
         216     1.31051     1.35185  0.00592999
         217     1.29972     1.35161  0.00590752
         218     1.28415      1.3513  0.00588852
         219     1.31332     1.35112  0.00586419
         220     1.29285     1.35086  0.00584351
         221     1.31416     1.35069  0.00581943
         222      1.3304      1.3506  0.00579393
         223     1.32404     1.35048  0.00576917
         224     1.32881     1.35038  0.00574423
         225     1.31264     1.35022  0.00572115
         226     1.31368     1.35005  0.00569812
         227     1.32376     1.34994  0.00567419
         228     1.31015     1.34976  0.00565199
         229     1.27596     1.34944  0.00563649
         230     1.24658       1.349   0.0056297
         231     1.26302     1.34862  0.00561762
         232     1.30335     1.34843  0.00559679
         233      1.3067     1.34825  0.00557564
         234     1.29892     1.34804  0.00555579
         235     1.29139      1.3478  0.00553738
         236     1.31224     1.34765  0.00551596
         237     1.28085     1.34736  0.00549989
         238     1.29937     1.34716  0.00548047
         239     1.28953     1.34692  0.00546284
         240     1.32814     1.34684  0.00544064
         241     1.33102     1.34678  0.00541846
         242     1.34491     1.34677  0.00539608
         243     1.35625     1.34681  0.00537401
         244      1.3505     1.34682  0.00535201
         245     1.37552     1.34694  0.00533145
         246     1.33707      1.3469  0.00530992
         247     1.31085     1.34676  0.00529043
         248     1.31967     1.34665  0.00527023
         249      1.3044     1.34648  0.00525179
         250     1.29358     1.34626  0.00523505
