#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.343974   -0.343974           0
           2   -0.359988   -0.351981  0.00566175
           3   -0.383082   -0.362348  0.00926814
           4    -0.36978   -0.364206  0.00713493
           5   -0.409365   -0.373238  0.00989132
           6   -0.466641   -0.388805   0.0164284
           7   -0.429078   -0.394558   0.0150552
           8   -0.437747   -0.399957   0.0141081
           9   -0.420466   -0.402236   0.0127232
          10   -0.399947   -0.402007    0.011453
          11   -0.395334     -0.4014   0.0104278
          12   -0.337625   -0.396086   0.0108288
          13   -0.352391   -0.392724   0.0105045
          14   -0.324637   -0.387861   0.0108216
          15   -0.371683   -0.386783   0.0101538
          16   -0.340319   -0.383879  0.00992575
          17     -0.3518   -0.381992  0.00951956
          18   -0.363511   -0.380965  0.00904589
          19   -0.358111   -0.379762  0.00864939
          20   -0.297781   -0.375663  0.00913673
          21   -0.273334    -0.37079  0.00991626
          22   -0.317661   -0.368375  0.00975515
          23   -0.368794   -0.368393  0.00933103
          24   -0.389297   -0.369264  0.00898279
          25   -0.373618   -0.369439  0.00862517
          26   -0.372734   -0.369565  0.00829436
          27   -0.396889   -0.370577  0.00804866
          28   -0.389285   -0.371245  0.00778889
          29   -0.398972   -0.372202  0.00757876
          30   -0.374409   -0.372275  0.00732649
          31   -0.342336   -0.371309  0.00715353
          32    -0.37339   -0.371374  0.00693027
          33   -0.329308     -0.3701   0.0068365
          34   -0.353702   -0.369617  0.00665241
          35   -0.370118   -0.369632  0.00646236
          36   -0.385179   -0.370064  0.00629726
          37   -0.354392    -0.36964   0.0061413
          38   -0.344238   -0.368971  0.00601595
          39   -0.344401   -0.368341  0.00589459
          40   -0.387003   -0.368808  0.00576566
          41   -0.330913   -0.367884  0.00569864
          42   -0.325255   -0.366869  0.00565262
          43   -0.413783    -0.36796  0.00562547
          44   -0.423768   -0.369228  0.00563879
          45     -0.4376   -0.370748  0.00571452
          46   -0.414968   -0.371709  0.00567057
          47   -0.387417   -0.372043  0.00555976
          48   -0.370639   -0.372014  0.00544401
          49   -0.391395   -0.372409  0.00534726
          50   -0.380886   -0.372579    0.005243
          51   -0.381227   -0.372748  0.00514294
          52   -0.412466   -0.373512  0.00510043
          53   -0.404635   -0.374099  0.00503789
          54   -0.407707   -0.374722  0.00498289
          55   -0.436344   -0.375842  0.00501667
          56   -0.458906   -0.377325  0.00514169
          57   -0.413084   -0.377953  0.00508962
          58    -0.38404   -0.378058  0.00500295
          59   -0.401901   -0.378462  0.00493445
          60   -0.406859   -0.378935  0.00487485
          61   -0.400268   -0.379285  0.00480746
          62   -0.420072   -0.379943  0.00477472
          63   -0.411269    -0.38044  0.00472475
          64   -0.399616    -0.38074  0.00466042
          65   -0.372401   -0.380611  0.00459048
          66   -0.366402   -0.380396  0.00452598
          67   -0.343503   -0.379845   0.0044918
          68   -0.370051   -0.379701  0.00442805
          69   -0.378087   -0.379678  0.00436394
          70   -0.341143   -0.379127  0.00433618
          71   -0.339623   -0.378571  0.00431066
          72   -0.333969   -0.377952  0.00429507
          73   -0.340504   -0.377439  0.00426675
          74   -0.327962    -0.37677  0.00426116
          75    -0.36122   -0.376563  0.00420938
          76   -0.379866   -0.376606  0.00415422
          77   -0.348987   -0.376247  0.00411573
          78   -0.333494   -0.375699   0.0040993
          79    -0.33176   -0.375143  0.00408497
          80   -0.363376   -0.374996  0.00403655
          81   -0.387147   -0.375146   0.0039895
          82   -0.355851   -0.374911  0.00394778
          83   -0.379858    -0.37497  0.00390067
          84   -0.426906   -0.375589  0.00390293
