#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         155      1.5965     1.59661 1.65252e-05
         156     1.59673     1.59661 1.64379e-05
         157      1.5967     1.59661 1.63436e-05
         158     1.59636     1.59661 1.63121e-05
         159     1.59664     1.59661 1.62108e-05
         160     1.59634      1.5966 1.61964e-05
         161     1.59671      1.5966 1.61097e-05
         162     1.59645      1.5966 1.60392e-05
         163     1.59633      1.5966 1.60282e-05
         164     1.59638      1.5966 1.59857e-05
         165     1.59675      1.5966 1.59158e-05
         166     1.59642      1.5966 1.58588e-05
         167     1.59645      1.5966 1.57889e-05
         168     1.59692      1.5966 1.58076e-05
         169     1.59699      1.5966 1.58811e-05
         170     1.59643      1.5966 1.58212e-05
         171     1.59649      1.5966 1.57429e-05
         172     1.59664      1.5966 1.56525e-05
         173      1.5967      1.5966 1.55718e-05
         174     1.59671      1.5966 1.54947e-05
         175     1.59634      1.5966  1.5477e-05
         176     1.59692      1.5966 1.54933e-05
         177     1.59653      1.5966 1.54113e-05
         178     1.59669      1.5966 1.53316e-05
         179      1.5965      1.5966 1.52579e-05
         180      1.5965      1.5966 1.51849e-05
         181     1.59637      1.5966 1.51572e-05
         182     1.59666      1.5966 1.50772e-05
         183     1.59668      1.5966 1.50004e-05
         184     1.59629      1.5966 1.50157e-05
         185     1.59705      1.5966 1.51261e-05
         186     1.59638      1.5966 1.50914e-05
         187     1.59663      1.5966 1.50113e-05
         188      1.5966      1.5966 1.49314e-05
         189     1.59657      1.5966 1.48536e-05
         190     1.59676      1.5966 1.47995e-05
         191     1.59658      1.5966 1.47224e-05
         192     1.59627      1.5966 1.47479e-05
         193     1.59666      1.5966 1.46749e-05
         194     1.59698      1.5966 1.47298e-05
         195     1.59656      1.5966 1.46561e-05
         196     1.59634      1.5966  1.4644e-05
         197     1.59709      1.5966 1.47814e-05
         198     1.59661      1.5966 1.47067e-05
         199     1.59657      1.5966 1.46337e-05
         200     1.59666      1.5966 1.45631e-05
         201     1.59656      1.5966 1.44921e-05
         202     1.59693     1.59661 1.45096e-05
         203     1.59657     1.59661 1.44392e-05
         204     1.59692     1.59661 1.44486e-05
         205     1.59669     1.59661 1.43841e-05
         206     1.59676     1.59661 1.43336e-05
         207     1.59658     1.59661 1.42649e-05
         208     1.59656     1.59661 1.41979e-05
         209     1.59669     1.59661 1.41353e-05
         210     1.59699     1.59661 1.41833e-05
         211     1.59669     1.59661  1.4121e-05
         212     1.59626     1.59661  1.4152e-05
         213     1.59671     1.59661  1.4094e-05
         214     1.59638     1.59661  1.4067e-05
         215     1.59662     1.59661 1.40017e-05
         216     1.59671     1.59661  1.3945e-05
         217     1.59668     1.59661 1.38842e-05
         218     1.59646     1.59661 1.38375e-05
         219     1.59653     1.59661 1.37792e-05
         220     1.59642     1.59661 1.37435e-05
         221     1.59636     1.59661 1.37261e-05
         222     1.59682     1.59661 1.36982e-05
         223     1.59674     1.59661 1.36497e-05
         224     1.59649     1.59661 1.35981e-05
         225     1.59677     1.59661 1.35566e-05
         226     1.59641     1.59661 1.35255e-05
         227     1.59668     1.59661 1.34695e-05
         228     1.59653     1.59661 1.34144e-05
         229     1.59649     1.59661 1.33662e-05
         230     1.59664     1.59661 1.33089e-05
         231     1.59675     1.59661  1.3266e-05
         232      1.5963     1.59661 1.32727e-05
         233     1.59655     1.59661 1.32176e-05
         234     1.59653     1.59661  1.3165e-05
         235     1.59665     1.59661 1.31102e-05
         236     1.59642      1.5966 1.30786e-05
         237     1.59658      1.5966  1.3024e-05
         238     1.59647      1.5966  1.2982e-05
         239     1.59675      1.5966 1.29421e-05
         240     1.59635      1.5966 1.29309e-05
         241     1.59635      1.5966 1.29189e-05
         242     1.59644      1.5966 1.28823e-05
         243     1.59623      1.5966 1.29214e-05
         244     1.59639      1.5966 1.28974e-05
         245     1.59638      1.5966 1.28771e-05
         246     1.59624      1.5966 1.29063e-05
         247     1.59659      1.5966 1.28541e-05
         248     1.59616      1.5966 1.29236e-05
         249     1.59703      1.5966 1.29881e-05
         250     1.59669      1.5966 1.29409e-05
