#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59639     1.59639           0
           2     1.59661      1.5965 7.80676e-05
           3     1.59643     1.59648 5.54718e-05
           4      1.5965     1.59648 4.18793e-05
           5     1.59624     1.59643 5.41504e-05
           6     1.59665     1.59647 5.53956e-05
           7     1.59667      1.5965 5.41399e-05
           8     1.59663     1.59651 4.97414e-05
           9      1.5969     1.59656 6.01923e-05
          10     1.59658     1.59656 5.42125e-05
          11     1.59688     1.59659 5.63738e-05
          12     1.59668      1.5966 5.21542e-05
          13     1.59667      1.5966  4.8437e-05
          14     1.59664      1.5966 4.50402e-05
          15     1.59668     1.59661 4.23229e-05
          16     1.59677     1.59662 4.07991e-05
          17     1.59658     1.59662 3.84505e-05
          18     1.59653     1.59661 3.65904e-05
          19     1.59691     1.59663 3.79453e-05
          20     1.59675     1.59663 3.65244e-05
          21     1.59653     1.59663 3.51164e-05
          22     1.59628     1.59661 3.68895e-05
          23     1.59642     1.59661 3.61855e-05
          24     1.59634     1.59659  3.6318e-05
          25      1.5969     1.59661 3.69239e-05
          26     1.59623     1.59659 3.82877e-05
          27     1.59632     1.59658 3.81348e-05
          28     1.59679     1.59659 3.74717e-05
          29     1.59662     1.59659 3.61905e-05
          30     1.59676      1.5966 3.54381e-05
          31     1.59678      1.5966 3.47795e-05
          32     1.59656      1.5966 3.37117e-05
          33     1.59678     1.59661  3.3143e-05
          34     1.59677     1.59661 3.25317e-05
          35      1.5962      1.5966 3.36396e-05
          36     1.59673      1.5966 3.29035e-05
          37     1.59667      1.5966 3.20607e-05
          38     1.59668     1.59661 3.12849e-05
          39     1.59662     1.59661 3.04837e-05
          40     1.59669     1.59661 2.97962e-05
          41     1.59696     1.59662 3.02454e-05
          42     1.59631     1.59661 3.03862e-05
          43     1.59634      1.5966 3.03003e-05
          44     1.59671     1.59661 2.97097e-05
          45     1.59664     1.59661  2.9057e-05
          46     1.59677     1.59661 2.86517e-05
          47     1.59684     1.59662 2.84369e-05
          48     1.59657     1.59661 2.78596e-05
          49     1.59634     1.59661 2.78346e-05
          50       1.597     1.59662 2.83626e-05
          51     1.59638     1.59661   2.819e-05
          52     1.59693     1.59662 2.83173e-05
          53     1.59649     1.59662 2.78851e-05
          54     1.59661     1.59662 2.73692e-05
          55     1.59655     1.59661 2.68995e-05
          56     1.59661     1.59661 2.64192e-05
          57     1.59689     1.59662 2.63951e-05
          58      1.5966     1.59662 2.59425e-05
          59      1.5966     1.59662 2.55049e-05
          60     1.59679     1.59662   2.524e-05
          61     1.59684     1.59663 2.50702e-05
          62     1.59668     1.59663 2.46824e-05
          63     1.59646     1.59662 2.44256e-05
          64     1.59692     1.59663 2.44927e-05
          65     1.59665     1.59663 2.41175e-05
          66     1.59682     1.59663 2.39199e-05
          67     1.59648     1.59663 2.36675e-05
          68     1.59664     1.59663 2.33199e-05
          69     1.59663     1.59663  2.2982e-05
          70     1.59683     1.59663 2.28344e-05
          71      1.5964     1.59663 2.27519e-05
          72     1.59676     1.59663  2.2511e-05
          73     1.59666     1.59663 2.22057e-05
          74     1.59669     1.59663  2.1921e-05
          75     1.59647     1.59663 2.17391e-05
          76     1.59672     1.59663 2.14826e-05
          77       1.597     1.59664 2.17279e-05
          78     1.59674     1.59664  2.1488e-05
          79     1.59653     1.59664 2.12554e-05
          80     1.59647     1.59663 2.10952e-05
          81     1.59699     1.59664  2.1285e-05
          82      1.5966     1.59664 2.10298e-05
          83     1.59655     1.59664 2.08034e-05
          84     1.59641     1.59663 2.07361e-05
          85     1.59647     1.59663 2.05823e-05
          86      1.5964     1.59663 2.05262e-05
          87     1.59686     1.59663 2.04663e-05
          88     1.59667     1.59663 2.02375e-05
          89     1.59669     1.59663 2.00224e-05
          90     1.59669     1.59663 1.98114e-05
          91     1.59632     1.59663 1.98904e-05
          92     1.59653     1.59663 1.97057e-05
          93     1.59683     1.59663 1.96178e-05
          94     1.59662     1.59663 1.94093e-05
          95      1.5968     1.59663 1.92884e-05
          96     1.59677     1.59663  1.9138e-05
          97     1.59662     1.59663  1.8941e-05
          98     1.59671     1.59663  1.8762e-05
          99     1.59656     1.59663  1.8588e-05
         100     1.59655     1.59663 1.84233e-05
         101     1.59634     1.59663 1.84704e-05
         102     1.59666     1.59663 1.82917e-05
         103     1.59636     1.59663 1.83007e-05
         104     1.59682     1.59663  1.8214e-05
         105     1.59671     1.59663 1.80553e-05
         106      1.5965     1.59663 1.79298e-05
         107     1.59666     1.59663 1.77643e-05
         108     1.59659     1.59663 1.76044e-05
         109      1.5971     1.59663 1.79546e-05
         110      1.5967     1.59663 1.78021e-05
         111      1.5966     1.59663 1.76447e-05
         112     1.59648     1.59663 1.75406e-05
         113     1.59684     1.59663 1.74773e-05
         114     1.59643     1.59663 1.74135e-05
         115     1.59642     1.59663 1.73599e-05
         116     1.59724     1.59664  1.7992e-05
         117     1.59681     1.59664 1.78975e-05
         118     1.59653     1.59664 1.77708e-05
         119     1.59642     1.59663  1.7713e-05
         120     1.59649     1.59663 1.76065e-05
         121     1.59685     1.59664 1.75537e-05
         122     1.59663     1.59664 1.74099e-05
         123     1.59663     1.59664 1.72684e-05
         124     1.59649     1.59663 1.71699e-05
         125     1.59692     1.59664 1.71892e-05
         126     1.59629     1.59663 1.72703e-05
         127     1.59655     1.59663 1.71469e-05
         128     1.59638     1.59663 1.71277e-05
         129     1.59642     1.59663 1.70741e-05
         130     1.59655     1.59663 1.69529e-05
         131      1.5966     1.59663 1.68247e-05
         132     1.59654     1.59663 1.67097e-05
         133      1.5964     1.59663 1.66707e-05
         134     1.59638     1.59662 1.66507e-05
         135     1.59638     1.59662 1.66254e-05
         136     1.59589     1.59662 1.73429e-05
         137     1.59686     1.59662 1.73032e-05
         138     1.59651     1.59662 1.71966e-05
         139     1.59644     1.59662 1.71201e-05
         140     1.59643     1.59662 1.70507e-05
         141     1.59664     1.59662 1.69309e-05
         142     1.59645     1.59661 1.68501e-05
         143     1.59658     1.59661 1.67338e-05
         144     1.59622     1.59661 1.68345e-05
         145     1.59651     1.59661 1.67318e-05
         146     1.59648     1.59661 1.66414e-05
         147     1.59623     1.59661 1.67262e-05
         148     1.59663     1.59661 1.66138e-05
         149     1.59687     1.59661 1.65945e-05
         150     1.59603     1.59661 1.69332e-05
         151     1.59658     1.59661 1.68219e-05
         152     1.59679     1.59661 1.67541e-05
         153     1.59681     1.59661 1.66961e-05
         154     1.59645     1.59661 1.66187e-05
