#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.29358     1.29358           0
           2      1.3044     1.29899  0.00382655
           3     1.31967     1.30588  0.00618131
           4     1.31085     1.30713  0.00475921
           5     1.33707     1.31312  0.00657227
           6     1.37552     1.32352   0.0109616
           7      1.3505     1.32737   0.0100505
           8     1.35625     1.33098  0.00942018
           9     1.34491     1.33253  0.00849974
          10     1.33102     1.33238  0.00765111
          11     1.32814     1.33199  0.00696525
          12     1.28953     1.32845  0.00722781
          13     1.29937     1.32622  0.00700947
          14     1.28085     1.32298  0.00721914
          15     1.31224     1.32226  0.00677324
          16     1.29139     1.32033  0.00661903
          17     1.29892     1.31907  0.00634835
          18      1.3067     1.31838  0.00603277
          19     1.30335     1.31759  0.00576692
          20     1.26302     1.31486  0.00609001
          21     1.24658     1.31161  0.00661142
          22     1.27596     1.30999  0.00650646
          23     1.31015        1.31  0.00622358
          24     1.32376     1.31057  0.00599061
          25     1.31368      1.3107  0.00575227
          26     1.31264     1.31077  0.00553152
          27     1.32881     1.31144  0.00536683
          28     1.32405     1.31189  0.00519402
          29     1.33039     1.31253  0.00505395
          30     1.31411     1.31258  0.00488576
          31     1.29274     1.31194  0.00476988
          32      1.3133     1.31198  0.00462101
          33     1.28406     1.31114  0.00455778
          34     1.30032     1.31082  0.00443483
          35     1.31088     1.31082  0.00430812
          36     1.32127     1.31111  0.00419822
          37     1.30071     1.31083  0.00409416
          38     1.29395     1.31039  0.00401045
          39     1.29401     1.30997  0.00392954
          40     1.32246     1.31028   0.0038437
          41     1.28525     1.30967  0.00379813
          42     1.28104     1.30899  0.00376834
          43     1.34009     1.30971  0.00374947
          44     1.34699     1.31056  0.00375875
          45     1.35616     1.31157  0.00380937
          46     1.34116     1.31221  0.00378049
          47     1.32284     1.31244   0.0037068
          48     1.31147     1.31242  0.00362963
          49     1.32516     1.31268  0.00356486
          50     1.31859      1.3128  0.00349552
          51      1.3184     1.31291  0.00342871
          52      1.3396     1.31342  0.00340098
          53     1.33408     1.31381  0.00335908
          54     1.33621     1.31423  0.00332239
          55     1.35526     1.31497  0.00334471
          56     1.37034     1.31596  0.00342803
          57     1.33998     1.31638   0.0033937
          58     1.32043     1.31645   0.0033359
          59     1.33233     1.31672   0.0032902
          60     1.33577     1.31704  0.00325064
          61      1.3314     1.31727  0.00320587
          62      1.3445     1.31771  0.00318411
          63     1.33849     1.31804  0.00315059
          64     1.33103     1.31825  0.00310789
          65      1.3127     1.31816  0.00306125
          66     1.30881     1.31802  0.00301814
          67     1.29332     1.31765  0.00299552
          68     1.31113     1.31755    0.002953
          69     1.31648     1.31754  0.00291025
          70     1.29198     1.31717  0.00289148
          71     1.29068      1.3168  0.00287473
          72     1.28715     1.31639  0.00286414
          73     1.29144     1.31605  0.00284522
          74      1.2831      1.3156  0.00284138
          75     1.30512     1.31546  0.00280693
          76     1.31772     1.31549  0.00277015
          77     1.29732     1.31526  0.00274421
          78     1.28682     1.31489  0.00273313
          79     1.28553     1.31452  0.00272369
          80     1.30656     1.31442  0.00269146
          81     1.32276     1.31452   0.0026602
          82     1.30164     1.31437   0.0026324
          83      1.3176      1.3144  0.00260097
          84     1.34887     1.31481  0.00260218
          85     1.36174     1.31537  0.00262947
          86     1.37757     1.31609  0.00269654
          87      1.3631     1.31663  0.00271915
          88     1.32883     1.31677  0.00269178
          89     1.32493     1.31686   0.0026631
          90     1.27888     1.31644  0.00266673
          91     1.30134     1.31627  0.00264259
          92     1.34932     1.31663  0.00263816
          93     1.33941     1.31688  0.00262114
          94     1.33221     1.31704  0.00259832
          95     1.33358     1.31721   0.0025768
          96     1.30813     1.31712  0.00255169
          97      1.3002     1.31695  0.00253134
          98     1.32462     1.31702  0.00250672
          99      1.3093     1.31695  0.00248261
         100      1.3473     1.31725  0.00247628
         101     1.33068     1.31738  0.00245533
         102     1.34028     1.31761   0.0024415
         103     1.33295     1.31776  0.00242234
         104     1.35631     1.31813  0.00242725
         105      1.3123     1.31807  0.00240477
         106     1.33114     1.31819  0.00238524
         107     1.34632     1.31846  0.00237739
         108     1.35111     1.31876  0.00237453
         109     1.35339     1.31908   0.0023739
         110     1.31185     1.31901  0.00235323
         111      1.3054     1.31889  0.00233522
         112     1.31495     1.31885  0.00231464
         113     1.31808     1.31885  0.00229416
         114     1.35765     1.31919  0.00229916
         115     1.38468     1.31976  0.00234863
         116      1.3578     1.32008  0.00235117
         117     1.32248     1.32011  0.00233116
         118     1.32513     1.32015   0.0023118
         119     1.33769      1.3203  0.00229707
         120     1.35099     1.32055  0.00229212
         121     1.35385     1.32083  0.00228964
         122     1.34118     1.32099  0.00227694
         123     1.33184     1.32108  0.00226014
         124     1.34214     1.32125  0.00224829
         125     1.34385     1.32143  0.00223755
         126     1.32351     1.32145  0.00221986
         127     1.32918     1.32151  0.00220321
         128     1.33049     1.32158  0.00218712
         129     1.34847     1.32179  0.00218007
         130      1.3562     1.32205  0.00217932
         131     1.34683     1.32224  0.00217087
         132     1.33352     1.32233  0.00215611
         133     1.34029     1.32246  0.00214412
         134     1.34037      1.3226  0.00213228
         135     1.36102     1.32288   0.0021354
         136     1.36948     1.32322  0.00214702
         137     1.37094     1.32357  0.00215941
         138     1.33184     1.32363  0.00214459
         139     1.31443     1.32357  0.00213018
         140     1.31672     1.32352  0.00211553
         141     1.29772     1.32333  0.00210842
         142      1.2877     1.32308  0.00210846
         143     1.27336     1.32273  0.00212219
         144     1.31471     1.32268  0.00210818
         145     1.32311     1.32268  0.00209364
         146     1.31117      1.3226  0.00208079
         147     1.31607     1.32256  0.00206711
         148     1.31654     1.32252  0.00205354
         149     1.30631     1.32241  0.00204263
         150     1.29214     1.32221  0.00203896
         151       1.333     1.32228  0.00202671
         152     1.30452     1.32216  0.00201674
         153     1.29569     1.32199  0.00201096
         154     1.27317     1.32167  0.00202274
         155     1.29475      1.3215  0.00201713
         156     1.29739     1.32134  0.00201011
         157     1.26902     1.32101  0.00202476
         158     1.29092     1.32082  0.00202088
         159     1.32448     1.32084   0.0020083
         160     1.31627     1.32081  0.00199595
         161     1.31093     1.32075   0.0019845
         162     1.30239     1.32064  0.00197548
         163     1.30189     1.32052  0.00196671
         164     1.32737     1.32057  0.00195516
         165     1.32592      1.3206  0.00194358
         166     1.31582     1.32057  0.00193208
         167     1.32136     1.32057  0.00192052
         168     1.31011     1.32051   0.0019101
         169      1.3098     1.32045  0.00189985
         170     1.29254     1.32028  0.00189575
         171     1.30959     1.32022   0.0018857
         172     1.32692     1.32026  0.00187514
         173      1.3284     1.32031  0.00186489
         174     1.32506     1.32034  0.00185437
         175     1.31594     1.32031  0.00184395
         176     1.31222     1.32026  0.00183404
         177     1.28867     1.32009  0.00183235
         178     1.29739     1.31996  0.00182648
         179     1.29719     1.31983   0.0018207
         180     1.29793     1.31971  0.00181465
         181     1.31361     1.31968  0.00180494
         182     1.31752     1.31966  0.00179506
         183     1.30387     1.31958  0.00178732
         184     1.34257      1.3197  0.00178197
         185     1.35485     1.31989  0.00178244
         186     1.32723     1.31993  0.00177329
         187     1.33999     1.32004  0.00176705
         188      1.3324     1.32011  0.00175887
         189     1.31695     1.32009  0.00174964
         190     1.29723     1.31997  0.00174457
         191     1.29361     1.31983  0.00174088
         192     1.30169     1.31974  0.00173438
         193     1.32353     1.31976   0.0017255
         194     1.30244     1.31967  0.00171892
         195     1.28362     1.31948  0.00172001
         196     1.30084     1.31939  0.00171386
         197     1.31254     1.31935  0.00170551
         198     1.28544     1.31918  0.00170548
         199     1.29997     1.31908  0.00169964
         200     1.30165       1.319  0.00169337
         201     1.32411     1.31902  0.00168514
         202     1.30506     1.31895  0.00167821
         203     1.31077     1.31891  0.00167043
         204     1.30981     1.31887  0.00166284
         205     1.29811     1.31877  0.00165781
         206     1.30302     1.31869  0.00165152
         207     1.28743     1.31854  0.00165043
         208     1.30024     1.31845  0.00164484
         209     1.32529     1.31848   0.0016373
         210     1.30972     1.31844  0.00163003
         211     1.28123     1.31827  0.00163182
         212     1.30177     1.31819  0.00162598
         213     1.30984     1.31815  0.00161881
         214     1.32438     1.31818  0.00161151
         215     1.33511     1.31826  0.00160594
         216     1.30903     1.31821  0.00159907
         217      1.3204     1.31822  0.00159173
         218     1.31619     1.31821  0.00158446
         219     1.33271     1.31828  0.00157861
         220     1.32852     1.31833  0.00157212
         221     1.35561      1.3185  0.00157403
         222     1.34921     1.31863  0.00157301
         223     1.33294      1.3187  0.00156726
         224     1.30878     1.31865  0.00156089
         225     1.30058     1.31857  0.00155602
         226     1.28429     1.31842  0.00155651
         227      1.3054     1.31837  0.00155071
         228     1.30363      1.3183  0.00154525
         229     1.33035     1.31835   0.0015394
         230     1.33127     1.31841  0.00153373
         231     1.33472     1.31848  0.00152872
         232     1.34423     1.31859  0.00152615
         233     1.34266     1.31869  0.00152309
         234     1.34273      1.3188  0.00152004
         235     1.32378     1.31882  0.00151372
         236     1.32876     1.31886   0.0015079
         237     1.33029     1.31891   0.0015023
         238     1.35637     1.31907  0.00150422
         239     1.32521     1.31909  0.00149814
         240     1.32705     1.31912  0.00149227
         241     1.34319     1.31922  0.00148941
         242     1.35681     1.31938  0.00149133
         243     1.35881     1.31954    0.001494
         244      1.3332      1.3196  0.00148892
         245     1.31853     1.31959  0.00148285
         246      1.3216      1.3196  0.00147685
         247     1.33343     1.31966  0.00147193
         248      1.3405     1.31974  0.00146839
         249     1.34432     1.31984  0.00146581
         250     1.31093      1.3198  0.00146038
