#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.94036     1.94036           0
           2      1.9566     1.94848  0.00573982
           3     1.97951     1.95882  0.00927197
           4     1.96628     1.96069  0.00713881
           5     2.00561     1.96967  0.00985841
           6     2.06329     1.98527   0.0164425
           7     2.02575     1.99106   0.0150757
           8     2.03437     1.99647   0.0141303
           9     2.01737     1.99879   0.0127496
          10     1.99653     1.99857   0.0114767
          11     1.99221     1.99799   0.0104479
          12      1.9343     1.99268   0.0108417
          13     1.94906     1.98933   0.0105142
          14     1.92127     1.98446   0.0108287
          15     1.96836     1.98339   0.0101599
          16     1.93708      1.9805  0.00992854
          17     1.94838     1.97861  0.00952252
          18     1.96004     1.97758  0.00904916
          19     1.95502     1.97639  0.00865039
          20     1.89453      1.9723  0.00913501
          21     1.86986     1.96742  0.00991713
          22     1.91394     1.96499  0.00975969
          23     1.96522       1.965  0.00933536
          24     1.98564     1.96586  0.00898591
          25     1.97052     1.96605  0.00862841
          26     1.96896     1.96616  0.00829728
          27     1.99321     1.96716  0.00805025
          28     1.98607     1.96783  0.00779103
          29     1.99559     1.96879  0.00758092
          30     1.97117     1.96887  0.00732864
          31     1.93911     1.96791  0.00715482
          32     1.96995     1.96797  0.00693151
          33     1.92609     1.96671  0.00683668
          34     1.95048     1.96623  0.00665224
          35     1.96632     1.96623  0.00646218
          36     1.98191     1.96667  0.00629733
          37     1.95106     1.96624  0.00614125
          38     1.94092     1.96558  0.00601568
          39     1.94102     1.96495   0.0058943
          40      1.9837     1.96542  0.00576555
          41     1.92787      1.9645   0.0056972
          42     1.92157     1.96348  0.00565251
          43     2.01013     1.96456   0.0056242
          44     2.02048     1.96583  0.00563812
          45     2.03424     1.96735  0.00571406
          46     2.01174     1.96832  0.00567073
          47     1.98425     1.96866   0.0055602
          48     1.96721     1.96863  0.00544445
          49     1.98774     1.96902  0.00534729
          50     1.97789      1.9692  0.00524328
          51     1.97761     1.96936  0.00514306
          52      2.0094     1.97013  0.00510147
