    0.119373  0.00678698  0.00767511 0.000426908
     0.35812   0.0525507   0.0593027  0.00221192
    0.596867    0.148499    0.154972  0.00181533
    0.835614    0.270161    0.265282   0.0019909
     1.07436    0.377318    0.364926  0.00350154
     1.31311    0.457326    0.443869  0.00419491
     1.55185    0.487655    0.485805  0.00322941
      1.7906    0.486918    0.481484  0.00440356
     2.02935    0.447165    0.449993  0.00533405
     2.26809     0.37724    0.394068  0.00408528
     2.50684    0.323177    0.325271  0.00330605
     2.74559    0.249373    0.246837  0.00292901
     2.98433    0.179564    0.183691   0.0020228
     3.22308    0.127634    0.122565   0.0013969
     3.46183   0.0852833     0.08526  0.00265903
     3.70057   0.0494092   0.0532526  0.00143019
     3.93932   0.0290483     0.03027   0.0011129
     4.17807   0.0150477   0.0156566 0.000779525
     4.41681  0.00841586  0.00902475 0.000758499
     4.65556  0.00535202  0.00532487 0.000571149
     4.89431  0.00221062  0.00191975 0.000308622
     5.13305   0.0022494  0.00105877 0.000262353
      5.3718 0.000155131 0.000775655 0.000367762
     5.61055           0 0.000155131 0.000115179
     5.84929           0 7.75655e-05 5.90722e-05
     6.08804           0 2.32697e-05 2.20755e-05
     6.32679           0           0           0
     6.56554           0           0           0
     6.80428           0           0           0
     7.04303           0           0           0
