#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.42306     1.42306           0
           2     1.41898     1.42102  0.00144075
           3     1.40569     1.41591  0.00428279
           4     1.40791     1.41391  0.00364916
           5     1.41006     1.41314  0.00299956
           6     1.40154     1.41121  0.00306014
           7     1.41654     1.41197  0.00271613
           8     1.39758     1.41017  0.00291204
           9      1.4105     1.41021  0.00258871
          10     1.40188     1.40937  0.00246005
