#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -2.65352    -2.65352           0
           2    -2.65223    -2.65288 0.000454439
           3    -2.65364    -2.65313 0.000367789
           4    -2.65409    -2.65337 0.000345514
           5    -2.65463    -2.65362  0.00035621
           6    -2.65213    -2.65337 0.000374275
           7    -2.65416    -2.65349 0.000337223
           8    -2.65441     -2.6536 0.000314344
           9    -2.65288    -2.65352 0.000289415
          10    -2.65208    -2.65338 0.000294153
