#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.46533    -5.46533           0
           2    -5.47018    -5.46776  0.00171255
           3    -5.45399    -5.46317  0.00391617
           4    -5.46072    -5.46255  0.00298469
           5    -5.47003    -5.46405  0.00273668
           6    -5.45535     -5.4626  0.00263691
           7    -5.46851    -5.46344   0.0023914
           8    -5.46221    -5.46329  0.00209744
           9    -5.46459    -5.46343   0.0018694
          10    -5.45477    -5.46257  0.00187247
          11    -5.44607    -5.46107  0.00222332
          12    -5.47459     -5.4622  0.00230607
          13    -5.46086    -5.46209  0.00213095
          14    -5.45115    -5.46131  0.00211736
          15     -5.4713    -5.46198  0.00207822
          16    -5.46037    -5.46188  0.00195077
          17    -5.46324    -5.46196  0.00183766
          18    -5.45895    -5.46179  0.00174315
          19    -5.44998    -5.46117  0.00175867
          20    -5.46414    -5.46132  0.00167699
