#   N_BLOCK:  ACCEPTANCE:
           1    0.510694
           2    0.510417
           3    0.510326
           4    0.510194
           5    0.510645
           6    0.510279
           7    0.510501
           8    0.509967
           9     0.51003
          10    0.510068
          11     0.50985
          12    0.509979
          13     0.51004
          14     0.50997
          15    0.510045
          16    0.509954
          17    0.509943
          18    0.509923
          19    0.509822
          20    0.509791
