
         2.5   0.0181014 0.000514779
         2.4   0.0190544 0.000503902
         2.3   0.0204285  0.00041366
         2.2   0.0219912 0.000535324
         2.1   0.0253224 0.000429465
           2   0.0274515 0.000533102
         1.9   0.0300343 0.000674874
         1.8   0.0338278 0.000453981
         1.7   0.0378218 0.000804758
         1.6   0.0424184 0.000750197
         1.5   0.0509136 0.000746877
         1.4   0.0588786 0.000903966
         1.3   0.0696161 0.000872174
         1.2   0.0878439 0.000998237
         1.1    0.110944  0.00160506
           1    0.148744  0.00167871
         0.9    0.204253  0.00276548
         0.8    0.282852  0.00356272
         0.7    0.447027  0.00599421
         0.6    0.661082  0.00723536
         0.5    0.881222   0.0110098
