#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.998883   -0.998883           0
           2    -0.99651   -0.997697  0.00083903
           3    -1.00569    -1.00036  0.00224745
           4    -1.00252     -1.0009  0.00174937
           5      -1.006    -1.00192  0.00167036
           6     -1.0078     -1.0029  0.00165476
           7    -1.00632    -1.00339  0.00148865
           8    -1.00512    -1.00361  0.00131813
           9     -1.0024    -1.00347  0.00117845
          10    -1.00473     -1.0036  0.00106727
          11    -1.00227    -1.00348 0.000977027
          12    -1.00378     -1.0035 0.000895927
          13    -1.00292    -1.00346 0.000828127
          14    -1.00429    -1.00352  0.00077113
          15    -1.00038    -1.00331 0.000747608
          16    -1.00643     -1.0035 0.000725907
          17   -0.999315    -1.00326 0.000723806
          18   -0.998986    -1.00302 0.000721443
          19    -1.00532    -1.00314 0.000693552
          20    -1.00251    -1.00311 0.000659599
