         2.5     0.13675 0.000179559
         2.4    0.146449 0.000215336
         2.3    0.157532 0.000293356
         2.2    0.169169 0.000164481
         2.1    0.182084 0.000206269
           2    0.196755  0.00030606
         1.9    0.212344 0.000321876
         1.8    0.229909 0.000388322
         1.7    0.249289 0.000354314
         1.6    0.270712 0.000367958
         1.5     0.29326 0.000589099
         1.4    0.318512 0.000679958
         1.3    0.344162 0.000703425
         1.2    0.369943 0.000683539
         1.1    0.398134 0.000665933
           1    0.420276  0.00112779
         0.9     0.43651   0.0013252
         0.8    0.440079  0.00137641
         0.7     0.43141  0.00185987
         0.6    0.423013  0.00248029
         0.5    0.331099  0.00317863
