         2.5      0.0175 0.000387845
         2.4   0.0189237 0.000457324
         2.3   0.0205358 0.000524269
         2.2   0.0224402 0.000558277
         2.1   0.0242616 0.000561774
           2   0.0268614 0.000615939
         1.9   0.0298906 0.000640213
         1.8   0.0335033 0.000732118
         1.7   0.0375718 0.000823168
         1.6   0.0427722 0.000772716
         1.5   0.0496784 0.000855183
         1.4   0.0575724  0.00109222
         1.3   0.0692673  0.00142062
         1.2   0.0851619  0.00149414
         1.1    0.106451  0.00189443
           1    0.141588  0.00301351
         0.9    0.192397  0.00404738
         0.8    0.281099  0.00454318
         0.7    0.436657  0.00758499
         0.6    0.677098   0.0120573
         0.5    0.890301  0.00893922
