         2.5    0.137033 0.000167623
         2.4    0.146829 0.000184322
         2.3    0.157488  0.00022061
         2.2    0.169266 0.000235073
         2.1    0.182273 0.000246786
           2    0.196603 0.000287413
         1.9    0.212787 0.000213565
         1.8    0.229992 0.000296046
         1.7    0.249135 0.000357968
         1.6      0.2702 0.000445978
         1.5    0.293171 0.000393683
         1.4    0.317702 0.000439079
         1.3    0.344018 0.000432777
         1.2    0.370295 0.000703932
         1.1    0.396835  0.00100999
           1    0.418396 0.000999545
         0.9    0.432356  0.00128506
         0.8    0.434018  0.00190443
         0.7    0.423377    0.002234
         0.6    0.422173  0.00247416
         0.5    0.332486  0.00588383
