         2.5    -0.37983 0.000168201
         2.4   -0.393953 0.000126063
         2.3   -0.409165 0.000108682
         2.2   -0.425475 0.000143864
         2.1   -0.443082 0.000110791
           2   -0.462092 0.000158055
         1.9   -0.482532 0.000157797
         1.8   -0.504577  0.00014497
         1.7   -0.528563 0.000111764
         1.6   -0.554441 0.000170001
         1.5   -0.582664 0.000179317
         1.4   -0.613657 0.000229912
         1.3   -0.646483 0.000170568
         1.2   -0.682085 0.000205519
         1.1   -0.720633  0.00023618
           1   -0.761798 0.000237929
         0.9   -0.804668 0.000219711
         0.8   -0.848472 0.000209532
         0.7    -0.89236 0.000365928
         0.6   -0.935675 0.000446104
         0.5   -0.973902 0.000382496
