         2.5   -0.379822 0.000143437
         2.4   -0.393985 0.000125536
         2.3   -0.409084 0.000149434
         2.2   -0.425447 0.000141642
         2.1   -0.443065 0.000148731
           2   -0.461924 0.000157826
         1.9   -0.482465 0.000179014
         1.8   -0.504632 0.000164922
         1.7   -0.528672 0.000163836
         1.6   -0.554731  0.00018027
         1.5    -0.58299 0.000184867
         1.4   -0.613363 0.000180875
         1.3   -0.646393 0.000154167
         1.2   -0.682334 0.000137318
         1.1   -0.720592 0.000240934
           1   -0.761421 0.000238061
         0.9   -0.804296 0.000222114
         0.8   -0.847869 0.000260755
         0.7   -0.891516  0.00035219
         0.6   -0.933768 0.000570034
         0.5   -0.973413 0.000720678
