         2.5    0.886536  0.00179537
         2.4    0.954615  0.00188281
         2.3      1.0333  0.00211545
         2.2     1.12505  0.00251538
         2.1     1.23111  0.00299494
           2     1.35342  0.00346188
         1.9     1.50084  0.00384307
         1.8      1.6811  0.00501324
         1.7      1.9016  0.00565682
         1.6     2.17069  0.00675438
         1.5     2.51445  0.00800187
         1.4     2.96795   0.0102316
         1.3     3.55643  0.00948371
         1.2     4.37953   0.0158171
         1.1     5.56089   0.0277881
           1     7.28896   0.0392136
         0.9     10.0813   0.0826037
         0.8       14.85    0.100485
         0.7     24.0832    0.258754
         0.6     42.9822    0.439708
         0.5     78.3032    0.729406
