#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         159     1.59678     1.59646 5.22861e-05
         160     1.59605     1.59646 5.20229e-05
         161      1.5966     1.59646 5.17074e-05
         162     1.59687     1.59646 5.14496e-05
         163     1.59678     1.59646  5.1172e-05
         164     1.59687     1.59646 5.09208e-05
         165      1.5962     1.59646 5.06372e-05
         166     1.59669     1.59646 5.03502e-05
         167     1.59662     1.59647 5.00574e-05
         168     1.59659     1.59647 4.97652e-05
         169     1.59625     1.59646 4.94871e-05
         170     1.59681     1.59647 4.92387e-05
         171     1.59653     1.59647  4.8952e-05
         172     1.59659     1.59647 4.86728e-05
         173     1.59661     1.59647 4.83987e-05
         174     1.59632     1.59647 4.81282e-05
         175     1.59644     1.59647 4.78534e-05
         176     1.59699     1.59647 4.76749e-05
         177     1.59674     1.59647 4.74308e-05
         178     1.59631     1.59647 4.71734e-05
         179     1.59646     1.59647 4.69099e-05
         180     1.59657     1.59647 4.66527e-05
         181     1.59692     1.59647 4.64597e-05
         182     1.59655     1.59647 4.62063e-05
         183     1.59653     1.59647 4.59547e-05
         184     1.59636     1.59647 4.57092e-05
         185     1.59707     1.59648 4.55772e-05
         186     1.59654     1.59648 4.53333e-05
         187     1.59661     1.59648 4.50964e-05
         188     1.59691     1.59648 4.49155e-05
         189     1.59625     1.59648 4.46952e-05
         190     1.59669     1.59648 4.44742e-05
         191     1.59684     1.59648  4.4281e-05
         192     1.59665     1.59648 4.40592e-05
         193     1.59664     1.59648 4.38385e-05
         194     1.59653     1.59648 4.36131e-05
         195     1.59669     1.59649 4.34018e-05
         196     1.59623     1.59648 4.32003e-05
         197     1.59633     1.59648  4.2988e-05
         198     1.59641     1.59648 4.27725e-05
         199     1.59656     1.59648 4.25593e-05
         200     1.59687     1.59649 4.23896e-05
         201       1.596     1.59648 4.22478e-05
         202     1.59671     1.59648 4.20536e-05
         203     1.59654     1.59648 4.18472e-05
         204     1.59631     1.59648 4.16509e-05
         205     1.59703     1.59649 4.15321e-05
         206     1.59651     1.59649 4.13306e-05
