#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.11171     3.11171           0
           2     3.00132     3.05652   0.0390267
           3     2.64351     2.91885    0.115378
           4     2.42443     2.79524    0.137647
           5     2.31157     2.69851    0.140043
           6     2.26005     2.62543    0.134423
           7     2.17162      2.5606    0.129916
           8     2.18051     2.51309    0.122055
           9     2.17827     2.47589    0.114022
          10     2.19004      2.4473    0.106142
          11     2.24966     2.42934   0.0980021
          12     2.21011     2.41107   0.0915221
          13     2.23955     2.39787   0.0854276
          14     2.23745     2.38642   0.0800904
          15      2.1941     2.37359   0.0757703
          16     2.14959     2.35959   0.0723165
          17     2.10596     2.34467   0.0695846
          18        2.12     2.33219   0.0668289
          19     2.13561     2.32185   0.0641075
          20     2.10226     2.31087   0.0618352
          21     2.09634     2.30065   0.0597285
          22      2.1046     2.29174   0.0576745
          23     2.07089     2.28214   0.0559606
          24     2.01696     2.27109   0.0547088
          25     1.98917     2.25981   0.0536701
          26     1.98666     2.24931    0.052624
          27     2.01624     2.24067   0.0513781
          28     2.06291     2.23433   0.0499338
          29     2.08115     2.22904   0.0484905
          30     2.05641     2.22329   0.0472144
          31     2.06189     2.21808   0.0459775
          32     2.03725     2.21243   0.0448867
          33     2.04054     2.20722   0.0438277
          34     2.03359     2.20212   0.0428351
          35     2.00801     2.19657   0.0419687
          36     2.04706     2.19242   0.0410079
          37     2.02224     2.18782   0.0401567
          38     2.03533      2.1838   0.0392999
          39     1.99848     2.17905   0.0385784
          40     1.99972     2.17457   0.0378736
          41     1.98459     2.16994   0.0372322
          42     2.00424     2.16599   0.0365541
          43     1.97074     2.16145   0.0359849
          44     1.94747     2.15659   0.0354942
          45     1.93086     2.15157   0.0350581
          46     1.96942     2.14761   0.0345189
          47     1.98556     2.14416   0.0339562
          48      1.9633      2.1404   0.0334572
          49      1.9656     2.13683    0.032964
          50     1.98266     2.13374   0.0324486
          51     1.93372     2.12982   0.0320485
          52     1.93462     2.12607   0.0316513
          53     1.95634     2.12287   0.0312157
          54     1.92346     2.11917   0.0308553
          55     1.95288     2.11615    0.030442
          56     1.92921     2.11281   0.0300809
          57     1.89798     2.10904   0.0297884
          58     1.93263       2.106   0.0294296
          59      1.9377     2.10315   0.0290687
          60     1.97461     2.10101   0.0286631
          61     1.98976     2.09918   0.0282512
          62     1.90782      2.0961   0.0279636
          63     1.90365     2.09304   0.0276861
          64     1.91708     2.09029   0.0273897
          65     1.92201      2.0877   0.0270904
          66     1.96264     2.08581   0.0267461
          67     1.95891     2.08391   0.0264139
          68       1.967     2.08219   0.0260813
          69     1.92342     2.07989   0.0258046
          70     1.93444     2.07782   0.0255195
          71     1.98419      2.0765   0.0251941
          72     2.01854     2.07569   0.0248571
          73     2.08533     2.07582   0.0245169
          74     2.06255     2.07564   0.0241863
          75     2.01598     2.07485   0.0238769
          76     2.01201     2.07402    0.023577
          77     2.04759     2.07368   0.0232733
          78     2.04524     2.07331   0.0229778
          79     2.04328     2.07293   0.0226901
          80     2.04581      2.0726    0.022409
          81     2.02443       2.072   0.0221402
          82     2.01826     2.07135   0.0218799
          83     2.00869     2.07059   0.0216293
          84     1.99827     2.06973    0.021389
          85     1.99948      2.0689   0.0211533
          86       1.948      2.0675    0.020954
          87     1.94315     2.06607   0.0207618
          88     1.96333      2.0649   0.0205587
          89     1.95815      2.0637   0.0203626
          90     1.96905     2.06265   0.0201635
          91     2.00673     2.06203   0.0199513
          92     2.02816     2.06167   0.0197379
          93     2.04942     2.06153   0.0195261
          94     2.06885     2.06161   0.0193185
          95     2.11459     2.06217   0.0191232
          96     2.12141     2.06279   0.0189339
          97      2.0609     2.06277   0.0187388
          98     2.03808     2.06252   0.0185492
          99     2.07355     2.06263   0.0183622
         100     2.03998      2.0624     0.01818
         101     2.02844     2.06206   0.0180031
         102     2.00614     2.06152   0.0178349
         103     2.00932     2.06101    0.017669
         104     2.01301     2.06055   0.0175051
         105      1.9956     2.05993   0.0173493
         106     1.99617     2.05933   0.0171961
         107     1.99743     2.05875   0.0170451
         108     1.99511     2.05816   0.0168974
         109     1.94784     2.05715   0.0167727
         110     1.92307     2.05593   0.0166645
         111     1.97064     2.05516    0.016532
         112     2.02731     2.05491   0.0163863
         113     2.09248     2.05524   0.0162447
         114     2.02402     2.05497   0.0161045
         115     2.04348     2.05487   0.0159647
         116     2.01866     2.05456   0.0158302
         117      1.9626     2.05377   0.0157144
         118     2.03577     2.05362   0.0155819
         119     2.03919      2.0535   0.0154515
         120     2.04847     2.05346   0.0153228
         121      2.0206     2.05319   0.0151985
         122     2.00237     2.05277   0.0150797
         123     2.04261     2.05269   0.0149573
         124     2.03735     2.05256   0.0148372
         125     2.03063     2.05239   0.0147195
         126     1.98832     2.05188   0.0146115
         127     1.97442     2.05127   0.0145091
         128     1.95914     2.05055   0.0144136
         129     2.03846     2.05046   0.0143022
         130     2.04387      2.0504   0.0141923
         131     2.05352     2.05043    0.014084
         132     2.00457     2.05008   0.0139815
         133     2.03457     2.04996   0.0138769
         134     1.99575     2.04956   0.0137792
         135     1.93992     2.04875   0.0137011
         136     1.92965     2.04787   0.0136283
         137     1.96874     2.04729   0.0135411
         138     1.96136     2.04667   0.0134572
         139     1.93851     2.04589   0.0133829
         140     1.93021     2.04507   0.0133128
         141     1.94841     2.04438    0.013236
         142     1.92653     2.04355   0.0131688
         143     1.96243     2.04298   0.0130889
         144     2.02021     2.04283    0.012999
         145     2.03765     2.04279   0.0129094
         146     1.98261     2.04238   0.0128276
         147     1.95117     2.04176   0.0127553
         148     1.94906     2.04113   0.0126845
         149     1.97437     2.04068   0.0126073
         150     2.03588     2.04065   0.0125232
         151     2.05031     2.04072   0.0124405
         152     2.01825     2.04057   0.0123595
         153      1.9895     2.04023   0.0122832
         154      1.9735      2.0398   0.0122111
         155     1.95109     2.03923   0.0121457
         156     1.95119     2.03866    0.012081
         157     1.97835     2.03828   0.0120101
         158     1.94394     2.03768    0.011949
         159     1.94937     2.03713   0.0118867
         160     2.00761     2.03694   0.0118138
         161     2.02544     2.03687   0.0117407
         162     2.02011     2.03677   0.0116687
         163     2.00145     2.03655   0.0115991
         164     1.99843     2.03632   0.0115307
         165     1.97502     2.03595   0.0114668
         166     1.98788     2.03566   0.0114014
         167     1.97458     2.03529    0.011339
         168     1.99379     2.03505   0.0112742
         169     2.03011     2.03502   0.0112075
         170     2.05881     2.03516   0.0111424
         171     2.02074     2.03507   0.0110776
         172     2.03093     2.03505   0.0110132
         173      1.9697     2.03467    0.010956
         174     2.00432      2.0345   0.0108945
         175     2.04504     2.03456   0.0108324
         176     2.04376     2.03461   0.0107709
         177     1.94788     2.03412   0.0107212
         178     1.97859     2.03381   0.0106655
         179     2.00107     2.03362   0.0106075
         180     2.02098     2.03355   0.0105488
         181     1.98388     2.03328   0.0104941
         182     1.99616     2.03307   0.0104384
         183     2.02018       2.033   0.0103816
         184     2.05976     2.03315   0.0103262
         185     2.09362     2.03348   0.0102756
         186     2.03234     2.03347   0.0102203
         187     2.03616     2.03348   0.0101657
         188     2.00812     2.03335   0.0101125
         189     2.02162     2.03329   0.0100592
         190     2.04655     2.03336   0.0100065
         191      1.9833      2.0331  0.00995754
         192     1.98384     2.03284  0.00990898
         193     1.96855     2.03251  0.00986324
         194      1.9517     2.03209  0.00982119
         195     1.94337     2.03163  0.00978135
         196     1.96139     2.03128  0.00973801
         197     1.98837     2.03106  0.00969102
         198     2.01433     2.03097  0.00964244
         199     1.98905     2.03076  0.00959629
         200     1.95118     2.03036  0.00955655
         201     1.98009     2.03011  0.00951228
         202     1.99898     2.02996  0.00946644
         203     2.00023     2.02981  0.00942094
         204     2.03652     2.02985  0.00937481
         205     2.08351     2.03011  0.00933274
         206      2.0338     2.03013  0.00928745
         207     2.01032     2.03003  0.00924308
         208     1.98112      2.0298  0.00920163
         209     2.02137     2.02976  0.00915769
         210     1.99088     2.02957  0.00911595
         211     1.99663     2.02941  0.00907409
         212     1.93836     2.02898  0.00904144
         213     1.95602     2.02864  0.00900548
         214     1.95201     2.02828  0.00897052
         215     1.97941     2.02806  0.00893167
         216     1.96577     2.02777  0.00889498
         217     1.94957     2.02741  0.00886128
         218     1.92622     2.02694  0.00883278
         219     1.96998     2.02668  0.00879628
         220     1.93927     2.02629  0.00876527
         221     1.97124     2.02604  0.00872914
         222      1.9956      2.0259   0.0086909
         223     1.98607     2.02572  0.00865376
         224     1.99321     2.02558  0.00861635
         225     1.96896     2.02532  0.00858172
         226     1.97052     2.02508  0.00854718
         227     1.98564     2.02491  0.00851129
         228     1.96522     2.02465  0.00847799
         229     1.91394     2.02416  0.00845474
         230     1.86986     2.02349  0.00844455
         231     1.89453     2.02293  0.00842643
         232     1.95502     2.02264  0.00839519
         233     1.96004     2.02237  0.00836346
         234     1.94838     2.02206  0.00833369
         235     1.93708      2.0217  0.00830607
         236     1.96836     2.02147  0.00827395
         237     1.92127     2.02105  0.00824983
         238     1.94906     2.02074  0.00822071
         239      1.9343     2.02038  0.00819426
         240     1.99221     2.02026  0.00816096
         241     1.99653     2.02017  0.00812769
         242     2.01737     2.02015  0.00809412
         243     2.03437     2.02021  0.00806102
         244     2.02575     2.02024  0.00802801
         245     2.06329     2.02041  0.00799717
         246     2.00561     2.02035  0.00796489
         247     1.96628     2.02013  0.00793565
         248     1.97951     2.01997  0.00790534
         249      1.9566     2.01971  0.00787769
         250     1.94036      2.0194  0.00785257
