1 8 33 12 27 18 22 30 13 19 4 25 2 29 17 34 14 6 21 23 11 7 15 10 26 20 5 3 24 16 32 28 9 31 
1 8 33 12 27 18 22 30 13 19 4 25 2 29 17 34 14 7 24 16 21 9 10 6 3 28 20 5 32 11 23 15 26 31 
1 8 21 6 12 15 33 17 27 7 34 30 14 4 31 19 22 5 20 2 23 9 24 32 29 18 26 10 25 3 11 13 16 28 
1 8 21 6 12 15 33 17 27 7 34 30 14 4 31 19 22 5 20 2 23 9 24 32 29 18 26 10 25 3 11 13 16 28 
1 8 21 6 12 15 33 17 22 28 32 18 5 31 10 26 20 29 2 25 4 19 13 30 27 34 14 23 11 7 3 24 16 9 
1 8 21 6 12 15 33 17 22 28 32 18 5 31 10 26 20 29 2 25 4 19 13 30 27 34 14 23 11 7 3 9 24 16 
1 8 21 6 12 15 33 17 22 28 32 18 5 31 10 26 20 29 2 25 4 27 7 34 30 14 19 23 9 24 3 11 13 16 
1 12 15 33 17 22 18 32 28 5 31 10 26 9 24 16 20 29 2 25 4 19 13 30 27 34 14 23 11 7 3 8 21 6 
1 8 21 6 12 15 33 17 22 18 32 28 5 31 10 26 9 24 16 20 29 2 25 4 19 13 30 27 34 14 23 11 7 3 
1 8 21 6 12 15 33 17 22 18 32 28 5 31 10 26 9 24 16 20 29 2 25 4 19 13 30 27 34 14 23 7 3 11 
1 8 21 6 12 15 33 17 22 18 32 28 5 31 10 26 9 24 16 20 29 2 25 4 19 13 30 27 34 14 7 3 23 11 
1 12 15 33 17 22 11 18 32 28 5 31 10 26 8 21 6 20 29 2 25 4 27 9 24 16 19 13 30 34 14 23 7 3 
1 8 21 11 12 15 33 17 22 18 32 28 5 6 31 10 26 9 24 16 20 29 2 25 4 27 7 34 30 13 19 14 23 3 
1 8 21 6 12 15 33 17 22 18 11 32 28 5 31 10 26 9 24 16 20 29 2 25 4 27 7 34 30 13 19 14 23 3 
1 8 21 6 12 15 33 17 22 18 11 32 28 5 31 10 26 9 24 16 20 29 2 25 4 27 7 34 30 13 19 14 23 3 
1 8 21 6 12 15 33 17 23 22 18 11 32 28 5 31 10 26 9 24 16 20 29 2 25 4 27 7 34 30 13 3 19 14 
1 8 21 6 12 15 5 28 32 18 17 23 22 25 4 10 31 33 2 29 11 20 16 24 9 26 27 7 34 30 13 3 19 14 
1 8 21 6 12 15 5 28 32 18 17 23 22 25 4 10 31 33 2 29 11 20 16 24 9 26 27 7 34 30 13 3 19 14 
1 8 21 6 12 15 5 28 32 18 17 23 22 25 4 10 31 33 2 29 11 20 16 24 9 26 27 7 34 30 13 3 14 19 
1 8 21 6 12 15 5 28 32 18 17 23 22 25 4 10 31 33 2 29 11 20 16 24 9 26 27 7 34 30 13 3 14 19 
1 8 21 6 12 15 5 28 32 18 17 23 22 25 4 10 31 33 2 29 11 20 16 24 9 26 27 7 34 30 13 3 14 19 
1 8 21 6 12 15 33 5 28 32 18 17 23 22 25 4 10 31 2 29 11 20 16 24 9 26 27 7 34 30 13 3 14 19 
1 8 21 6 12 15 33 5 28 32 18 17 23 22 25 4 10 31 2 29 11 20 16 24 9 26 27 7 34 30 13 3 14 19 
1 8 21 6 12 15 33 5 28 32 18 17 23 22 25 4 10 31 2 29 11 20 16 24 9 26 27 7 34 30 13 3 14 19 
1 8 21 6 12 15 33 5 28 32 18 2 29 17 23 22 25 4 10 31 11 20 16 24 9 26 27 7 34 30 13 3 14 19 
1 8 21 6 12 15 33 5 28 32 18 2 29 17 23 22 25 4 10 31 11 20 16 24 9 26 27 19 34 30 13 3 14 7 
1 8 21 6 12 15 33 5 28 32 18 2 29 17 23 22 25 4 10 31 11 20 16 24 9 26 27 30 13 3 14 19 7 34 
1 8 21 6 12 15 33 5 28 32 18 2 29 17 23 22 25 4 10 31 11 20 16 24 9 26 27 30 13 3 14 19 7 34 
1 8 21 6 12 15 33 5 28 32 18 2 29 17 23 22 25 4 10 31 11 20 16 24 9 26 27 30 13 3 14 19 7 34 
1 8 21 6 12 15 33 5 28 32 18 2 29 17 23 22 34 7 19 14 3 13 30 27 26 9 24 16 20 11 31 10 4 25 
1 8 21 6 12 15 33 5 28 32 18 2 29 17 23 22 30 13 25 4 10 31 11 20 16 24 9 3 14 19 7 34 26 27 
1 8 21 6 12 15 33 5 28 32 18 2 29 17 23 22 30 13 25 4 10 31 11 20 16 24 9 3 14 19 7 34 26 27 
1 8 21 6 12 15 33 5 28 32 18 2 29 17 23 22 30 13 25 4 10 31 11 20 16 24 9 3 14 19 7 34 26 27 
1 8 21 6 12 15 33 5 28 32 18 2 29 17 23 22 30 13 25 4 10 31 11 20 16 24 9 3 14 19 7 34 27 26 
1 8 21 6 12 15 33 5 28 32 18 2 29 17 23 22 30 13 25 4 10 31 11 20 16 24 9 3 14 19 7 34 27 26 
1 8 15 12 6 21 33 5 28 32 18 2 29 17 23 22 30 13 25 4 10 31 11 20 16 24 9 3 14 19 7 34 27 26 
1 8 15 12 6 21 33 5 28 32 18 2 29 17 23 22 30 13 25 4 10 31 11 20 16 24 9 3 14 19 7 34 27 26 
1 8 21 6 12 15 33 5 28 32 18 2 29 17 23 22 30 13 25 26 27 34 7 19 14 3 9 24 16 20 11 31 10 4 
1 8 21 6 12 15 33 5 28 32 18 2 29 17 23 22 30 13 25 26 27 34 7 19 14 3 9 24 16 20 11 31 10 4 
1 8 15 12 6 21 33 5 28 32 18 2 29 17 23 22 30 13 25 26 27 34 7 19 14 3 9 24 16 20 11 31 10 4 
1 8 21 6 12 15 33 5 28 32 18 2 29 17 23 22 30 13 25 26 27 34 7 19 14 3 9 24 16 20 11 4 10 31 
1 8 21 6 12 15 33 5 28 32 18 2 29 17 23 22 30 13 9 24 16 20 11 31 10 4 25 19 14 3 7 34 27 26 
1 8 21 6 12 15 33 5 20 28 32 18 2 29 17 23 22 30 13 9 24 16 11 31 10 4 25 19 14 3 7 34 27 26 
1 8 21 6 12 15 33 5 20 28 32 18 2 29 17 23 22 30 13 9 24 16 11 31 10 4 25 26 27 34 7 19 14 3 
