1	5.86665	0
2	5.72831	0.0978212
3	5.47956	0.213315
4	5.58327	0.183471
5	5.40314	0.217948
6	5.37316	0.183673
7	5.32092	0.164696
8	5.25527	0.156647
9	5.28129	0.141386
10	5.27338	0.127468
11	5.31646	0.122943
12	5.31279	0.112752
13	5.32731	0.10501
14	5.32833	0.0975144
15	5.34671	0.09273
16	5.32922	0.0885686
17	5.32797	0.0833675
18	5.31089	0.0804676
19	5.32604	0.0776464
20	5.36195	0.0816432
21	5.34754	0.0790161
22	5.31565	0.0816048
23	5.31197	0.0781399
24	5.30838	0.0749663
25	5.31092	0.0720107
26	5.31588	0.0694111
27	5.34165	0.0714668
28	5.35161	0.069604
29	5.376	0.0713496
30	5.37447	0.0689876
31	5.36674	0.0671942
32	5.37535	0.0656435
33	5.37055	0.0638293
34	5.38425	0.0634048
35	5.38251	0.0616171
36	5.39105	0.0604952
37	5.40382	0.0601924
38	5.42892	0.0636265
39	5.43837	0.062693
40	5.43557	0.0611882
41	5.42227	0.0611232
42	5.42886	0.0600214
43	5.44607	0.061043
44	5.45813	0.0608353
45	5.44213	0.0615508
46	5.44745	0.0604419
47	5.45	0.0592097
48	5.45885	0.0586337
49	5.47737	0.060293
50	5.47301	0.0592445
51	5.47278	0.0580833
52	5.47344	0.0569701
53	5.4694	0.0560386
54	5.45916	0.0559287
55	5.4591	0.0549119
56	5.45136	0.0544745
57	5.44821	0.0536098
58	5.4636	0.0548491
59	5.46245	0.0539313
60	5.45891	0.0531487
61	5.46995	0.0534121
62	5.46357	0.0529302
63	5.46081	0.0521622
64	5.45892	0.0513812
65	5.45818	0.0505961
66	5.45933	0.0498426
67	5.45486	0.049299
68	5.44877	0.0489486
69	5.45297	0.0484189
70	5.45282	0.0477274
71	5.45262	0.0470556
72	5.44451	0.0470965
73	5.44568	0.0464659
74	5.45183	0.0462433
75	5.44865	0.0457361
76	5.44746	0.0451496
77	5.45144	0.0447379
78	5.44713	0.0443712
79	5.46031	0.045726
80	5.45653	0.0453108
81	5.45265	0.0449169
82	5.4618	0.0452913
83	5.45237	0.0457175
84	5.45631	0.0453432
85	5.45856	0.0448651
86	5.45332	0.0446476
87	5.45294	0.0441361
88	5.46059	0.0442929
89	5.4544	0.0442264
90	5.45919	0.0439945
91	5.45715	0.0435585
92	5.45697	0.0430854
93	5.45876	0.042659
94	5.45963	0.0422141
95	5.45709	0.0418459
96	5.45482	0.0414712
97	5.4534	0.0410681
98	5.45773	0.0408762
99	5.4614	0.0406281
100	5.46353	0.0402777
