              1      -0.456119      -0.456119              0
              2       -0.54028        -0.4982      0.0297556
              3      -0.468609      -0.488336      0.0214095
              4      -0.414947      -0.469989      0.0225899
              5      -0.418294       -0.45965      0.0203005
              6      -0.448823      -0.457845      0.0169971
              7      -0.394092      -0.448738      0.0168331
              8      -0.432758       -0.44674       0.014847
              9      -0.396487      -0.441157      0.0142086
             10      -0.437224      -0.440763      0.0127931
             11       -0.42107      -0.438973      0.0117547
             12      -0.438722      -0.438952      0.0107752
             13      -0.509072      -0.444346      0.0112154
             14      -0.469939      -0.446174      0.0105622
             15      -0.456532      -0.446865     0.00988062
             16      -0.493198       -0.44976     0.00967814
             17      -0.461574      -0.450455     0.00913376
             18      -0.419316      -0.448725     0.00878863
             19      -0.418711      -0.447146     0.00846685
             20      -0.419977      -0.445787     0.00815176
             21      -0.404466       -0.44382     0.00799753
             22      -0.417682      -0.442631     0.00772175
             23       -0.56761      -0.448065     0.00909923
             24      -0.391432      -0.445706     0.00902089
             25      -0.469159      -0.446644      0.0087087
             26      -0.450269      -0.446783     0.00837486
             27      -0.440033      -0.446533     0.00806841
             28       -0.45061      -0.446679     0.00778157
             29         -0.442      -0.446517     0.00751491
             30      -0.452377      -0.446713     0.00726695
             31      -0.470321      -0.447474     0.00707233
             32      -0.498232       -0.44906     0.00702694
             33      -0.505147       -0.45076     0.00701653
             34      -0.409542      -0.449548      0.0069141
             35      -0.467936      -0.450073     0.00673648
             36      -0.534192       -0.45241     0.00694279
             37      -0.449383      -0.452328     0.00675563
             38      -0.435758      -0.451892     0.00659191
             39      -0.447421      -0.451777     0.00642388
             40       -0.43948       -0.45147     0.00627064
             41      -0.457478      -0.451616     0.00611941
             42      -0.512048      -0.453055     0.00614054
             43      -0.524656       -0.45472     0.00621941
             44      -0.520269       -0.45621     0.00625393
             45      -0.410819      -0.455201     0.00619577
             46      -0.519383      -0.456597     0.00621619
             47      -0.456593      -0.456597     0.00608393
             48      -0.482346      -0.457133     0.00598079
             49      -0.465173      -0.457297     0.00586098
             50      -0.545104      -0.459053     0.00600109
             51      -0.486643      -0.459594     0.00590776
             52      -0.432361      -0.459071     0.00581731
             53      -0.400766       -0.45797     0.00581064
             54      -0.465154      -0.458103     0.00570456
             55      -0.471096       -0.45834     0.00560573
             56      -0.536607      -0.459737     0.00567718
             57      -0.456229      -0.459676     0.00557792
             58      -0.497077      -0.460321     0.00551889
             59      -0.450718      -0.460158     0.00542775
             60       -0.29537      -0.457411       0.005992
             61      -0.460737      -0.457466     0.00589401
             62      -0.437231       -0.45714     0.00580798
             63      -0.504908      -0.457898     0.00576507
             64      -0.369809      -0.456521     0.00583698
             65      -0.433624      -0.456169      0.0057578
             66      -0.458616      -0.456206     0.00567068
             67      -0.457013      -0.456218     0.00558606
             68      -0.438869      -0.455963     0.00550973
             69      -0.479315      -0.456302     0.00544027
             70      -0.439156      -0.456057     0.00536806
             71      -0.494565      -0.456599     0.00531978
             72      -0.526271      -0.457567     0.00533318
             73      -0.442543      -0.457361     0.00526409
             74      -0.492165      -0.457831     0.00521392
             75      -0.438436      -0.457573     0.00515081
             76      -0.461516      -0.457624      0.0050833
             77      -0.455437      -0.457596     0.00501736
             78      -0.458233      -0.457604     0.00495304
             79      -0.409156      -0.456991     0.00492817
             80      -0.409649      -0.456399     0.00490197
             81      -0.560984       -0.45769     0.00500861
             82      -0.395737      -0.456935     0.00500419
             83      -0.434587      -0.456666     0.00495114
             84      -0.344407      -0.455329     0.00506935
             85      -0.254483      -0.452966     0.00553306
             86      -0.487204      -0.453364     0.00548303
             87       -0.50613      -0.453971     0.00545345
             88      -0.484114      -0.454313     0.00540222
             89      -0.383675       -0.45352     0.00539951
             90      -0.464681      -0.453644     0.00534094
             91      -0.400034      -0.453055     0.00531464
             92      -0.450202      -0.453024     0.00525696
             93      -0.472078      -0.453228     0.00520443
             94      -0.523123      -0.453972     0.00520191
             95       -0.46037      -0.454039     0.00514758
             96      -0.373401      -0.453199     0.00516204
             97      -0.528772      -0.453979     0.00516729
             98         -0.447      -0.453907     0.00511505
             99      -0.458351      -0.453952     0.00506358
            100      -0.489946      -0.454312     0.00502572
