  Step          Temp            Mu         Sigma        Energy
   568     0.0240871      0.768687      0.621593     -0.437986
   569     0.0240871       0.74212      0.672997     -0.410761
   570     0.0240871       0.73218      0.724886     -0.391573
   571     0.0240871       0.73218      0.724886     -0.391573
   572     0.0240871       0.73218      0.724886     -0.391573
   573     0.0240871      0.809768      0.708958     -0.390466
   574     0.0240871      0.809768      0.708958     -0.390466
   575     0.0240871      0.892288      0.646719     -0.400873
   576     0.0240871      0.892288      0.646719     -0.400873
   577     0.0240871      0.804777      0.656651     -0.433548
   578     0.0240871      0.804777      0.656651     -0.433548
   579     0.0240871      0.804777      0.656651     -0.433548
   580     0.0221601      0.804777      0.656651     -0.433548
   581     0.0221601      0.823931      0.614361     -0.437902
   582     0.0221601      0.683889      0.554859     -0.353618
   583     0.0221601      0.683889      0.554859     -0.353618
   584     0.0221601      0.768665      0.579581     -0.431428
   585     0.0221601      0.809376      0.560803     -0.420921
   586     0.0221601      0.729724       0.61391     -0.429613
   587     0.0221601      0.729724       0.61391     -0.429613
   588     0.0221601      0.729724       0.61391     -0.429613
   589     0.0221601      0.753649      0.623626     -0.437852
   590     0.0221601      0.753649      0.623626     -0.437852
   591     0.0221601      0.753649      0.623626     -0.437852
   592     0.0221601      0.753649      0.623626     -0.437852
   593     0.0221601      0.753649      0.623626     -0.437852
   594     0.0221601      0.753649      0.623626     -0.437852
   595     0.0221601      0.753649      0.623626     -0.437852
   596     0.0221601      0.753649      0.623626     -0.437852
   597     0.0221601      0.753649      0.623626     -0.437852
   598     0.0221601      0.828269      0.637106     -0.438732
   599     0.0221601      0.828269      0.637106     -0.438732
   600     0.0203873      0.828269      0.637106     -0.438732
   601     0.0203873      0.828269      0.637106     -0.438732
   602     0.0203873      0.828269      0.637106     -0.438732
   603     0.0203873      0.828269      0.637106     -0.438732
   604     0.0203873      0.704503      0.600203     -0.413954
   605     0.0203873      0.835206      0.584374     -0.440175
   606     0.0203873      0.835206      0.584374     -0.440175
   607     0.0203873      0.835206      0.584374     -0.440175
   608     0.0203873      0.835206      0.584374     -0.440175
   609     0.0203873      0.924166      0.631967     -0.418963
   610     0.0203873      0.924166      0.631967     -0.418963
   611     0.0203873      0.800701      0.587862     -0.440024
   612     0.0203873      0.800701      0.587862     -0.440024
   613     0.0203873      0.800701      0.587862     -0.440024
   614     0.0203873      0.760057      0.582748     -0.429509
   615     0.0203873      0.760057      0.582748     -0.429509
   616     0.0203873      0.760057      0.582748     -0.429509
   617     0.0203873      0.760057      0.582748     -0.429509
   618     0.0203873      0.760057      0.582748     -0.429509
   619     0.0203873      0.760057      0.582748     -0.429509
   620     0.0187563      0.760057      0.582748     -0.429509
   621     0.0187563      0.760057      0.582748     -0.429509
   622     0.0187563      0.760057      0.582748     -0.429509
   623     0.0187563      0.760057      0.582748     -0.429509
   624     0.0187563      0.760057      0.582748     -0.429509
   625     0.0187563      0.760057      0.582748     -0.429509
   626     0.0187563      0.830001      0.595048     -0.429103
   627     0.0187563      0.830001      0.595048     -0.429103
   628     0.0187563      0.776611      0.629241     -0.422403
   629     0.0187563      0.776611      0.629241     -0.422403
   630     0.0187563      0.776611      0.629241     -0.422403
   631     0.0187563      0.849672      0.615545     -0.432873
   632     0.0187563      0.849672      0.615545     -0.432873
   633     0.0187563      0.849672      0.615545     -0.432873
   634     0.0187563      0.825962      0.645276     -0.439141
   635     0.0187563      0.825962      0.645276     -0.439141
   636     0.0187563      0.825962      0.645276     -0.439141
   637     0.0187563      0.825962      0.645276     -0.439141
   638     0.0187563      0.825962      0.645276     -0.439141
   639     0.0187563      0.825962      0.645276     -0.439141
   640     0.0172558      0.825962      0.645276     -0.439141
   641     0.0172558      0.825962      0.645276     -0.439141
   642     0.0172558      0.838945      0.618393     -0.449363
   643     0.0172558      0.838945      0.618393     -0.449363
   644     0.0172558      0.838945      0.618393     -0.449363
   645     0.0172558      0.838945      0.618393     -0.449363
   646     0.0172558        0.8686       0.64219     -0.434687
   647     0.0172558      0.793612      0.646138     -0.445206
   648     0.0172558      0.793612      0.646138     -0.445206
   649     0.0172558      0.793612      0.646138     -0.445206
   650     0.0172558      0.767735      0.611824     -0.444112
   651     0.0172558      0.767735      0.611824     -0.444112
   652     0.0172558      0.767735      0.611824     -0.444112
   653     0.0172558      0.767735      0.611824     -0.444112
   654     0.0172558      0.767735      0.611824     -0.444112
   655     0.0172558      0.767735      0.611824     -0.444112
   656     0.0172558      0.767735      0.611824     -0.444112
   657     0.0172558      0.824227      0.595296     -0.438135
   658     0.0172558      0.824227      0.595296     -0.438135
   659     0.0172558      0.824227      0.595296     -0.438135
   660     0.0158754      0.831593      0.594906      -0.43745
   661     0.0158754      0.831593      0.594906      -0.43745
   662     0.0158754      0.746125      0.603212     -0.428221
   663     0.0158754      0.746125      0.603212     -0.428221
   664     0.0158754      0.746125      0.603212     -0.428221
   665     0.0158754      0.733468      0.649273     -0.436603
   666     0.0158754      0.733468      0.649273     -0.436603
   667     0.0158754      0.733468      0.649273     -0.436603
   668     0.0158754      0.738434      0.602691     -0.431369
   669     0.0158754       0.85985      0.661941     -0.421155
   670     0.0158754       0.86926      0.642092     -0.427946
   671     0.0158754       0.86926      0.642092     -0.427946
   672     0.0158754       0.86926      0.642092     -0.427946
   673     0.0158754       0.86926      0.642092     -0.427946
   674     0.0158754      0.732382      0.598325     -0.420144
   675     0.0158754      0.722343      0.635137     -0.423947
   676     0.0158754      0.722343      0.635137     -0.423947
   677     0.0158754      0.741573      0.657548     -0.442098
   678     0.0158754      0.741573      0.657548     -0.442098
   679     0.0158754      0.741573      0.657548     -0.442098
   680     0.0146053      0.741573      0.657548     -0.442098
   681     0.0146053      0.741573      0.657548     -0.442098
   682     0.0146053      0.741573      0.657548     -0.442098
   683     0.0146053      0.741573      0.657548     -0.442098
   684     0.0146053      0.741573      0.657548     -0.442098
   685     0.0146053      0.741573      0.657548     -0.442098
   686     0.0146053      0.741573      0.657548     -0.442098
   687     0.0146053      0.741573      0.657548     -0.442098
   688     0.0146053      0.741573      0.657548     -0.442098
   689     0.0146053      0.741573      0.657548     -0.442098
   690     0.0146053      0.741573      0.657548     -0.442098
   691     0.0146053      0.741573      0.657548     -0.442098
   692     0.0146053      0.741573      0.657548     -0.442098
   693     0.0146053      0.741573      0.657548     -0.442098
   694     0.0146053      0.741573      0.657548     -0.442098
   695     0.0146053      0.741573      0.657548     -0.442098
   696     0.0146053      0.741573      0.657548     -0.442098
   697     0.0146053      0.741573      0.657548     -0.442098
   698     0.0146053      0.741573      0.657548     -0.442098
   699     0.0146053      0.741573      0.657548     -0.442098
   700     0.0134369      0.741573      0.657548     -0.442098
   701     0.0134369      0.741573      0.657548     -0.442098
   702     0.0134369      0.741573      0.657548     -0.442098
   703     0.0134369      0.741573      0.657548     -0.442098
   704     0.0134369      0.741573      0.657548     -0.442098
   705     0.0134369      0.741573      0.657548     -0.442098
   706     0.0134369      0.741573      0.657548     -0.442098
   707     0.0134369      0.741573      0.657548     -0.442098
   708     0.0134369      0.741573      0.657548     -0.442098
   709     0.0134369      0.741573      0.657548     -0.442098
   710     0.0134369      0.741573      0.657548     -0.442098
   711     0.0134369      0.741573      0.657548     -0.442098
   712     0.0134369      0.741573      0.657548     -0.442098
   713     0.0134369      0.741573      0.657548     -0.442098
   714     0.0134369      0.741573      0.657548     -0.442098
   715     0.0134369      0.741573      0.657548     -0.442098
   716     0.0134369      0.741573      0.657548     -0.442098
   717     0.0134369      0.741573      0.657548     -0.442098
   718     0.0134369      0.741573      0.657548     -0.442098
   719     0.0134369      0.741573      0.657548     -0.442098
   720      0.012362      0.741573      0.657548     -0.442098
   721      0.012362      0.741573      0.657548     -0.442098
   722      0.012362      0.741573      0.657548     -0.442098
   723      0.012362      0.751709      0.664491     -0.429099
   724      0.012362      0.751709      0.664491     -0.429099
   725      0.012362      0.751709      0.664491     -0.429099
   726      0.012362      0.731963      0.640394     -0.423717
   727      0.012362      0.731963      0.640394     -0.423717
   728      0.012362      0.711117      0.619582     -0.426826
   729      0.012362      0.711117      0.619582     -0.426826
   730      0.012362      0.711117      0.619582     -0.426826
   731      0.012362      0.711117      0.619582     -0.426826
   732      0.012362      0.711117      0.619582     -0.426826
   733      0.012362       0.83563      0.634697      -0.44816
   734      0.012362       0.83563      0.634697      -0.44816
   735      0.012362       0.83563      0.634697      -0.44816
   736      0.012362       0.83563      0.634697      -0.44816
   737      0.012362       0.83563      0.634697      -0.44816
   738      0.012362       0.83563      0.634697      -0.44816
   739      0.012362       0.83563      0.634697      -0.44816
   740      0.011373       0.83563      0.634697      -0.44816
   741      0.011373       0.83563      0.634697      -0.44816
   742      0.011373       0.83563      0.634697      -0.44816
   743      0.011373       0.83563      0.634697      -0.44816
   744      0.011373       0.83563      0.634697      -0.44816
   745      0.011373       0.83563      0.634697      -0.44816
   746      0.011373       0.83563      0.634697      -0.44816
   747      0.011373       0.83563      0.634697      -0.44816
   748      0.011373       0.83563      0.634697      -0.44816
   749      0.011373       0.83563      0.634697      -0.44816
   750      0.011373       0.83563      0.634697      -0.44816
   751      0.011373       0.83563      0.634697      -0.44816
   752      0.011373       0.83563      0.634697      -0.44816
   753      0.011373       0.83563      0.634697      -0.44816
   754      0.011373       0.83563      0.634697      -0.44816
   755      0.011373       0.83563      0.634697      -0.44816
   756      0.011373      0.782695      0.655567     -0.432626
   757      0.011373      0.782695      0.655567     -0.432626
   758      0.011373      0.782695      0.655567     -0.432626
   759      0.011373       0.75753      0.646212     -0.435371
   760     0.0104632       0.75753      0.646212     -0.435371
   761     0.0104632       0.75753      0.646212     -0.435371
   762     0.0104632       0.75753      0.646212     -0.435371
   763     0.0104632      0.848927      0.676757     -0.390289
   764     0.0104632        0.8248      0.683763     -0.395906
   765     0.0104632      0.801101      0.697798     -0.400245
   766     0.0104632      0.801101      0.697798     -0.400245
   767     0.0104632      0.801101      0.697798     -0.400245
   768     0.0104632      0.801101      0.697798     -0.400245
   769     0.0104632      0.801101      0.697798     -0.400245
   770     0.0104632      0.758497      0.746203     -0.379928
   771     0.0104632      0.758497      0.746203     -0.379928
   772     0.0104632      0.830555      0.727606     -0.403512
   773     0.0104632      0.830555      0.727606     -0.403512
   774     0.0104632      0.706971      0.667223     -0.418813
   775     0.0104632      0.711222      0.721015     -0.406858
   776     0.0104632      0.711222      0.721015     -0.406858
   777     0.0104632      0.711222      0.721015     -0.406858
   778     0.0104632      0.711222      0.721015     -0.406858
   779     0.0104632      0.711222      0.721015     -0.406858
