  Step          Temp            Mu         Sigma        Energy
   135      0.163932      0.798398      0.513694     -0.358837
   136      0.163932      0.776524      0.515575     -0.356074
   137      0.163932      0.690098      0.536062     -0.348684
   138      0.163932       0.83021      0.530368     -0.357129
   139      0.163932       0.70551      0.609614     -0.410355
   140      0.163932      0.720615      0.641034     -0.425097
   141      0.150818      0.720615      0.641034     -0.425097
   142      0.150818      0.681233      0.692241     -0.377775
   143      0.150818      0.564498      0.690339     -0.303361
   144      0.150818      0.709348      0.744908     -0.380575
   145      0.150818      0.669405      0.772656     -0.310905
   146      0.150818      0.709187      0.784933     -0.359887
   147      0.150818       0.58399      0.773544     -0.323221
   148      0.150818       0.58399      0.773544     -0.323221
   149      0.150818       0.68755      0.712614     -0.369057
   150      0.150818      0.637948      0.642264     -0.362849
   151      0.150818      0.637948      0.642264     -0.362849
   152      0.150818       0.61088      0.653007     -0.328699
   153      0.150818       0.61088      0.653007     -0.328699
   154      0.138752      0.680021      0.682772     -0.378357
   155      0.138752       0.72504      0.693171     -0.385801
   156      0.138752      0.835473      0.644862     -0.444718
   157      0.138752       0.74635      0.578315     -0.409197
   158      0.138752      0.783604      0.540384     -0.398098
   159      0.138752      0.843634       0.54102     -0.382291
   160      0.138752      0.703773      0.574594     -0.395631
   161      0.138752       0.82668      0.619238     -0.442596
   162      0.138752       0.82668      0.619238     -0.442596
   163      0.138752       0.82668      0.619238     -0.442596
   164      0.138752      0.704152      0.647787     -0.419244
   165      0.138752      0.838218       0.60143     -0.430177
   166      0.138752      0.829827      0.643776     -0.448274
   167      0.138752      0.763275      0.660962     -0.423544
   168      0.127652      0.707385      0.639297     -0.412041
   169      0.127652      0.649224      0.702453     -0.353273
   170      0.127652      0.680322      0.758117      -0.31564
   171      0.127652      0.719832      0.742209     -0.392489
   172      0.127652      0.722651      0.725086     -0.381817
   173      0.127652      0.722651      0.725086     -0.381817
   174      0.127652      0.769772      0.738372     -0.417967
   175      0.127652      0.769772      0.738372     -0.417967
   176      0.127652      0.732225      0.708253     -0.408937
   177      0.127652      0.732225      0.708253     -0.408937
   178      0.127652      0.753705      0.736131     -0.388308
   179      0.127652      0.828778      0.689659     -0.400273
   180      0.127652      0.828778      0.689659     -0.400273
   181      0.127652      0.740449      0.734117     -0.391808
   182      0.127652      0.734236      0.683512     -0.413172
   183      0.127652      0.765505      0.627218     -0.438486
   184       0.11744      0.818176      0.621082     -0.444874
   185       0.11744      0.763326      0.679552     -0.419658
   186       0.11744      0.631632      0.732336     -0.341203
   187       0.11744      0.670774      0.724288     -0.388376
   188       0.11744      0.757431      0.691756     -0.418329
   189       0.11744      0.757431      0.691756     -0.418329
   190       0.11744      0.757431      0.691756     -0.418329
   191       0.11744      0.826776      0.690863     -0.441897
   192       0.11744      0.826776      0.690863     -0.441897
   193       0.11744      0.776878      0.707386     -0.428978
   194       0.11744        0.7167      0.653876     -0.422459
   195       0.11744        0.7167      0.653876     -0.422459
   196       0.11744      0.628298      0.646627     -0.365898
   197       0.11744      0.655119      0.646908     -0.382135
   198       0.11744      0.619845      0.653528     -0.364511
   199       0.11744      0.587986      0.624443     -0.323376
   200       0.11744      0.564727      0.573751     -0.231939
   201      0.108045       0.48476      0.568635     -0.117869
   202      0.108045       0.48476      0.568635     -0.117869
   203      0.108045       0.48476      0.568635     -0.117869
   204      0.108045      0.496747      0.531621    -0.0929873
   205      0.108045      0.560419      0.595123     -0.264013
   206      0.108045      0.656775      0.607941     -0.371277
   207      0.108045      0.656775      0.607941     -0.371277
   208      0.108045      0.599074      0.677489     -0.338564
   209      0.108045       0.65113      0.636769     -0.375147
   210      0.108045      0.577429      0.626513     -0.276088
   211      0.108045      0.695585      0.554174     -0.365246
   212      0.108045      0.750739      0.511419     -0.340674
   213      0.108045      0.794173      0.457521     -0.123176
   214      0.108045      0.718118      0.473687     -0.243925
   215      0.108045      0.718118      0.473687     -0.243925
   216      0.108045      0.740034      0.552162      -0.38275
   217      0.108045      0.637207      0.576429     -0.339936
   218      0.108045      0.773848      0.559413     -0.409752
   219      0.108045      0.773848      0.559413     -0.409752
   220     0.0994012       0.90619      0.600462     -0.399747
   221     0.0994012       0.94217      0.557759     -0.331474
   222     0.0994012       0.94217      0.557759     -0.331474
   223     0.0994012      0.838154      0.530209     -0.364039
   224     0.0994012      0.838154      0.530209     -0.364039
   225     0.0994012      0.912714      0.546382     -0.342157
   226     0.0994012      0.912714      0.546382     -0.342157
   227     0.0994012      0.855756      0.520378     -0.336406
   228     0.0994012      0.855756      0.520378     -0.336406
   229     0.0994012      0.961891      0.557578     -0.322516
   230     0.0994012      0.906169      0.613142     -0.401904
   231     0.0994012      0.809812      0.681804     -0.405178
   232     0.0994012      0.791424      0.657868     -0.434607
   233     0.0994012      0.791424      0.657868     -0.434607
   234     0.0994012      0.780024      0.581867     -0.433049
   235     0.0994012      0.710432      0.607702     -0.402403
   236     0.0994012      0.813034      0.614136     -0.453778
   237     0.0994012      0.813034      0.614136     -0.453778
   238     0.0994012      0.813034      0.614136     -0.453778
   239     0.0994012      0.883992      0.657295     -0.446528
   240     0.0914491      0.883992      0.657295     -0.446528
   241     0.0914491      0.883992      0.657295     -0.446528
   242     0.0914491      0.910227      0.613493     -0.380248
   243     0.0914491      0.777578      0.631164      -0.43687
   244     0.0914491      0.633677      0.572818     -0.360943
   245     0.0914491      0.631152      0.646018     -0.363431
   246     0.0914491      0.674642      0.592808     -0.370492
   247     0.0914491      0.674642      0.592808     -0.370492
   248     0.0914491      0.674642      0.592808     -0.370492
   249     0.0914491      0.655066      0.572794     -0.363109
   250     0.0914491      0.655066      0.572794     -0.363109
   251     0.0914491      0.714141      0.546567     -0.381038
   252     0.0914491      0.714141      0.546567     -0.381038
   253     0.0914491      0.846647      0.581405     -0.422075
   254     0.0914491      0.846647      0.581405     -0.422075
   255     0.0914491      0.756667      0.540298      -0.39122
   256     0.0914491      0.756667      0.540298      -0.39122
   257     0.0914491       0.83018      0.591451     -0.432875
   258     0.0914491      0.830169      0.659622     -0.426533
   259     0.0914491      0.732718      0.623821     -0.435607
   260     0.0841332      0.732718      0.623821     -0.435607
   261     0.0841332      0.877883      0.615963     -0.425317
   262     0.0841332      0.877883      0.615963     -0.425317
   263     0.0841332      0.877883      0.615963     -0.425317
   264     0.0841332      0.877883      0.615963     -0.425317
   265     0.0841332      0.877883      0.615963     -0.425317
   266     0.0841332      0.848888      0.679159     -0.417933
   267     0.0841332       0.79012      0.659076     -0.440815
   268     0.0841332      0.746294      0.697513     -0.410068
